y,P
-2,0.06224
-1.9973,0.062429
-1.9947,0.062619
-1.992,0.062808
-1.9893,0.062998
-1.9867,0.063187
-1.984,0.063377
-1.9813,0.06344
-1.9787,0.063631
-1.976,0.063821
-1.9733,0.064012
-1.9706,0.064203
-1.968,0.064393
-1.9653,0.064584
-1.9626,0.064784
-1.96,0.064983
-1.9573,0.065183
-1.9546,0.065383
-1.952,0.065583
-1.9493,0.065782
-1.9466,0.065982
-1.944,0.066185
-1.9413,0.066388
-1.9386,0.066592
-1.936,0.066796
-1.9333,0.067
-1.9306,0.067204
-1.928,0.067408
-1.9253,0.067612
-1.9226,0.067816
-1.9199,0.06802
-1.9173,0.068224
-1.9146,0.068429
-1.9119,0.068639
-1.9093,0.068852
-1.9066,0.069068
-1.9039,0.069284
-1.9013,0.069499
-1.8986,0.069713
-1.8959,0.069926
-1.8933,0.07014
-1.8906,0.070353
-1.8879,0.070567
-1.8853,0.07078
-1.8826,0.070994
-1.8799,0.071207
-1.8773,0.07142
-1.8746,0.071776
-1.8719,0.071989
-1.8692,0.072203
-1.8666,0.072417
-1.8639,0.072631
-1.8612,0.072702
-1.8586,0.072926
-1.8559,0.073149
-1.8532,0.073373
-1.8506,0.073597
-1.8479,0.07382
-1.8452,0.074044
-1.8426,0.074268
-1.8399,0.074495
-1.8372,0.074722
-1.8346,0.07495
-1.8319,0.075178
-1.8292,0.075406
-1.8266,0.075635
-1.8239,0.075863
-1.8212,0.076091
-1.8185,0.076319
-1.8159,0.076548
-1.8132,0.076932
-1.8105,0.077177
-1.8079,0.077272
-1.8052,0.077514
-1.8025,0.077756
-1.7999,0.077998
-1.7972,0.07824
-1.7945,0.078482
-1.7919,0.078725
-1.7892,0.078967
-1.7865,0.079209
-1.7839,0.079452
-1.7812,0.079849
-1.7785,0.080088
-1.7759,0.080327
-1.7732,0.08041
-1.7705,0.080659
-1.7678,0.080908
-1.7652,0.081158
-1.7625,0.081407
-1.7598,0.081657
-1.7572,0.081906
-1.7545,0.082156
-1.7518,0.082406
-1.7492,0.082655
-1.7465,0.082905
-1.7438,0.083155
-1.7412,0.083406
-1.7385,0.083656
-1.7358,0.083906
-1.7332,0.084157
-1.7305,0.084419
-1.7278,0.084685
-1.7252,0.084952
-1.7225,0.085219
-1.7198,0.085487
-1.7171,0.085754
-1.7145,0.086022
-1.7118,0.086463
-1.7091,0.08673
-1.7065,0.086997
-1.7038,0.087264
-1.7011,0.087529
-1.6985,0.087588
-1.6958,0.08785
-1.6931,0.08812
-1.6905,0.088394
-1.6878,0.088667
-1.6851,0.088939
-1.6825,0.089212
-1.6798,0.089487
-1.6771,0.089763
-1.6744,0.09004
-1.6718,0.090318
-1.6691,0.090597
-1.6664,0.090877
-1.6638,0.091157
-1.6611,0.091437
-1.6584,0.091718
-1.6558,0.091817
-1.6531,0.092105
-1.6504,0.092393
-1.6478,0.09268
-1.6451,0.092968
-1.6424,0.093257
-1.6398,0.093543
-1.6371,0.093821
-1.6344,0.094099
-1.6318,0.094378
-1.6291,0.094668
-1.6264,0.094957
-1.6237,0.095247
-1.6211,0.095539
-1.6184,0.095834
-1.6157,0.096129
-1.6131,0.096424
-1.6104,0.096719
-1.6077,0.097018
-1.6051,0.097322
-1.6024,0.097626
-1.5997,0.09793
-1.5971,0.098235
-1.5944,0.098729
-1.5917,0.099024
-1.5891,0.099319
-1.5864,0.099414
-1.5837,0.099724
-1.5811,0.10003
-1.5784,0.10035
-1.5757,0.10066
-1.573,0.10097
-1.5704,0.10128
-1.5677,0.10159
-1.565,0.1019
-1.5624,0.10222
-1.5597,0.10253
-1.557,0.10284
-1.5544,0.10316
-1.5517,0.10348
-1.549,0.1038
-1.5464,0.10412
-1.5437,0.10444
-1.541,0.10476
-1.5384,0.10508
-1.5357,0.1054
-1.533,0.10572
-1.5304,0.10604
-1.5277,0.10636
-1.525,0.1069
-1.5223,0.10723
-1.5197,0.10757
-1.517,0.10791
-1.5143,0.10825
-1.5117,0.10858
-1.509,0.10892
-1.5063,0.10926
-1.5037,0.10959
-1.501,0.10993
-1.4983,0.11002
-1.4957,0.11035
-1.493,0.1107
-1.4903,0.11104
-1.4877,0.11138
-1.485,0.11172
-1.4823,0.11206
-1.4797,0.11239
-1.477,0.11274
-1.4743,0.11309
-1.4716,0.11343
-1.469,0.11378
-1.4663,0.11413
-1.4636,0.11448
-1.461,0.11482
-1.4583,0.11517
-1.4556,0.11552
-1.453,0.11586
-1.4503,0.11646
-1.4476,0.11683
-1.445,0.11718
-1.4423,0.11754
-1.4396,0.1179
-1.437,0.11825
-1.4343,0.11861
-1.4316,0.11897
-1.429,0.11932
-1.4263,0.11968
-1.4236,0.12004
-1.4209,0.12041
-1.4183,0.12078
-1.4156,0.12115
-1.4129,0.12152
-1.4103,0.1219
-1.4076,0.12227
-1.4049,0.12265
