y,U,UpUp,V,VpVp,Pxx,Pyy
-1.8832,1.0766,0.0010351,0.053908,0.00081572,4.8718e-05,7.5924e-05
-1.8816,1.0766,0.0010396,0.054002,0.00081958,4.8994e-05,7.6338e-05
-1.88,1.0766,0.0010442,0.054097,0.0008236,4.9285e-05,7.6755e-05
-1.8784,1.0766,0.0010488,0.054192,0.00082771,4.9585e-05,7.7175e-05
-1.8768,1.0766,0.0010534,0.054287,0.00083191,4.9895e-05,7.7597e-05
-1.8752,1.0773,0.0010587,0.054416,0.00083671,5.5076e-05,7.8013e-05
-1.8735,1.0773,0.0010634,0.054511,0.00084098,5.5402e-05,7.8439e-05
-1.8719,1.0773,0.0010681,0.054607,0.00084524,5.5729e-05,7.8865e-05
-1.8703,1.0773,0.0010728,0.054703,0.00084949,5.6057e-05,7.9293e-05
-1.8687,1.0773,0.0010775,0.054799,0.00085373,5.6384e-05,7.972e-05
-1.8671,1.0773,0.0010822,0.054895,0.00085794,5.6713e-05,8.0149e-05
-1.8655,1.0773,0.0010869,0.054991,0.00086215,5.7041e-05,8.0578e-05
-1.8639,1.0774,0.0010916,0.055087,0.00086633,5.737e-05,8.1007e-05
-1.8623,1.0767,0.0010956,0.05515,0.00086998,5.2776e-05,8.1429e-05
-1.8607,1.0767,0.0011008,0.055247,0.00087429,5.3054e-05,8.1898e-05
-1.8591,1.0768,0.001106,0.055344,0.00087857,5.3333e-05,8.2368e-05
-1.8575,1.0768,0.0011111,0.055441,0.00088284,5.3612e-05,8.2839e-05
-1.8559,1.0768,0.0011163,0.055538,0.0008871,5.3892e-05,8.3309e-05
-1.8543,1.0768,0.0011215,0.055635,0.00089133,5.4172e-05,8.378e-05
-1.8527,1.0768,0.0011266,0.055732,0.00089554,5.4452e-05,8.4251e-05
-1.8511,1.0768,0.0011318,0.055829,0.00089974,5.4733e-05,8.4723e-05
-1.8495,1.0769,0.0011369,0.055926,0.00090391,5.5015e-05,8.5194e-05
-1.8479,1.0769,0.0011421,0.056023,0.00090807,5.5297e-05,8.5666e-05
-1.8463,1.0769,0.0011473,0.05612,0.00091221,5.558e-05,8.6138e-05
-1.8447,1.0769,0.0011524,0.056217,0.00091633,5.5863e-05,8.6611e-05
-1.8431,1.0769,0.0011576,0.056314,0.00092043,5.6146e-05,8.7084e-05
-1.8415,1.077,0.0011628,0.056411,0.0009246,5.6438e-05,8.7558e-05
-1.8399,1.077,0.0011681,0.056513,0.00092963,5.6794e-05,8.8071e-05
-1.8383,1.077,0.0011734,0.056614,0.00093463,5.7151e-05,8.8584e-05
-1.8367,1.077,0.0011787,0.056716,0.00093961,5.7508e-05,8.9098e-05
-1.8351,1.077,0.0011841,0.056817,0.00094456,5.7866e-05,8.9612e-05
-1.8335,1.077,0.0011894,0.056919,0.0009495,5.8223e-05,9.0127e-05
-1.8319,1.077,0.0011947,0.057021,0.00095442,5.8581e-05,9.0643e-05
-1.8303,1.077,0.0012,0.057122,0.00095932,5.894e-05,9.1159e-05
-1.8287,1.077,0.0012054,0.057224,0.00096419,5.9298e-05,9.1675e-05
-1.8271,1.0771,0.0012107,0.057326,0.00096905,5.9658e-05,9.2192e-05
-1.8255,1.0771,0.001216,0.057427,0.00097388,6.0017e-05,9.271e-05
-1.8239,1.0771,0.0012213,0.057529,0.0009787,6.0377e-05,9.3228e-05
-1.8223,1.0771,0.0012267,0.05763,0.00098349,6.0737e-05,9.3746e-05
-1.8207,1.0771,0.001232,0.057732,0.00098826,6.1097e-05,9.4265e-05
-1.8191,1.0771,0.0012373,0.057834,0.00099302,6.1458e-05,9.4785e-05
-1.8175,1.0771,0.0012426,0.057935,0.00099775,6.1819e-05,9.5305e-05
-1.8159,1.0771,0.001248,0.058037,0.0010025,6.218e-05,9.5825e-05
-1.8143,1.0778,0.001254,0.058173,0.0010078,6.7741e-05,9.6349e-05
-1.8127,1.0778,0.0012594,0.058276,0.0010124,6.8101e-05,9.6884e-05
-1.8111,1.0778,0.0012647,0.058381,0.001017,6.845e-05,9.7444e-05
-1.8095,1.0778,0.0012699,0.058489,0.0010216,6.8797e-05,9.803e-05
-1.8079,1.0772,0.0012748,0.058561,0.0010262,6.3944e-05,9.8619e-05
-1.8063,1.0772,0.0012808,0.058666,0.0010318,6.4338e-05,9.9212e-05
-1.8047,1.0772,0.0012867,0.058772,0.0010374,6.4733e-05,9.9805e-05
-1.8031,1.0772,0.0012927,0.058878,0.0010429,6.5127e-05,0.0001004
-1.8015,1.0773,0.0012987,0.058983,0.0010484,6.5523e-05,0.00010099
-1.7999,1.0773,0.0013047,0.059089,0.0010539,6.5918e-05,0.00010159
-1.7983,1.0773,0.0013107,0.059195,0.0010594,6.6314e-05,0.00010218
-1.7967,1.0773,0.0013166,0.0593,0.0010648,6.671e-05,0.00010278
-1.7951,1.0773,0.0013226,0.059406,0.0010702,6.7106e-05,0.00010337
-1.7935,1.0773,0.0013286,0.059512,0.0010756,6.7503e-05,0.00010397
-1.7919,1.0773,0.0013346,0.059617,0.001081,6.79e-05,0.00010457
-1.7903,1.0773,0.0013406,0.059723,0.0010864,6.8298e-05,0.00010517
-1.7887,1.0774,0.0013465,0.059829,0.0010917,6.8695e-05,0.00010576
-1.7871,1.0774,0.0013525,0.059934,0.001097,6.9093e-05,0.00010636
-1.7855,1.0774,0.0013585,0.06004,0.0011023,6.9492e-05,0.00010696
-1.7839,1.0774,0.0013645,0.060145,0.0011076,6.989e-05,0.00010756
-1.7823,1.078,0.0013713,0.060287,0.0011135,7.5642e-05,0.00010817
-1.7807,1.0781,0.0013773,0.060391,0.0011187,7.6046e-05,0.00010876
-1.7791,1.0781,0.0013834,0.060496,0.0011239,7.6451e-05,0.00010935
-1.7775,1.0781,0.0013895,0.0606,0.0011291,7.6856e-05,0.00010994
-1.7759,1.0781,0.0013957,0.060705,0.0011346,7.7278e-05,0.00011055
-1.7743,1.0781,0.0014024,0.060812,0.0011408,7.774e-05,0.00011119
-1.7727,1.0775,0.0014082,0.060884,0.0011463,7.2745e-05,0.00011184
-1.7711,1.0775,0.001415,0.060993,0.0011525,7.3177e-05,0.0001125
-1.7695,1.0775,0.0014217,0.061102,0.0011586,7.361e-05,0.00011316
-1.7679,1.0775,0.0014285,0.061211,0.0011648,7.4044e-05,0.00011383
-1.7663,1.0775,0.0014353,0.06132,0.0011709,7.4477e-05,0.00011449
-1.7647,1.0775,0.001442,0.061429,0.001177,7.4911e-05,0.00011516
-1.7631,1.0775,0.0014488,0.061537,0.001183,7.5345e-05,0.00011583
-1.7615,1.0775,0.0014555,0.061646,0.0011891,7.578e-05,0.00011649
-1.7599,1.0775,0.0014623,0.061755,0.0011951,7.6214e-05,0.00011716
-1.7583,1.0776,0.001469,0.061864,0.0012011,7.665e-05,0.00011783
-1.7567,1.0776,0.0014758,0.061973,0.0012071,7.7085e-05,0.0001185
-1.7551,1.0776,0.0014825,0.062082,0.001213,7.7521e-05,0.00011917
-1.7535,1.0776,0.0014893,0.062191,0.0012189,7.7957e-05,0.00011984
-1.7519,1.0776,0.001496,0.062299,0.0012248,7.8393e-05,0.00012051
-1.7503,1.0776,0.0015028,0.062408,0.0012307,7.883e-05,0.00012118
-1.7487,1.0776,0.0015095,0.062517,0.0012366,7.9267e-05,0.00012185
-1.7471,1.0776,0.0015163,0.062626,0.0012424,7.9704e-05,0.00012252
-1.7455,1.0776,0.001523,0.062735,0.0012482,8.0142e-05,0.0001232
-1.7439,1.0777,0.0015299,0.062844,0.0012541,8.0588e-05,0.00012386
-1.7423,1.0777,0.0015374,0.062955,0.0012611,8.1095e-05,0.00012459
-1.7407,1.0777,0.0015448,0.063066,0.001268,8.1601e-05,0.00012531
