x,u
0.5005005005005005,-2.398240821093751e-05
0.5055055055055055,-0.00027216041015624997
0.5105105105105106,-0.0010285846015624994
0.5155155155155156,-0.0018457730054687507
0.5205205205205206,-0.0034229733359374993
0.5255255255255256,-0.004062910176991151
0.5305305305305306,-0.006281101484374999
0.5355355355355356,-0.007881121687500001
0.5405405405405406,-0.009665432968750004
0.5455455455455456,-0.010860880921875007
0.5505505505505506,-0.013039809374999997
0.5555555555555556,-0.014223705156250006
0.5605605605605606,-0.016315392843749995
0.5655655655655656,-0.0174525407265625
0.5705705705705706,-0.019293523359375005
0.5755755755755756,-0.02076064195312501
0.5805805805805806,-0.022175067812499994
0.5855855855855856,-0.02352161296874999
0.5905905905905906,-0.024814248874999997
0.5955955955955956,-0.0260435171875
0.6006006006006006,-0.027224105
0.6056056056056056,-0.028362219819531253
0.6106106106106106,-0.029459361929687507
0.6156156156156156,-0.030749991796875
0.6206206206206206,-0.031445617343749996
0.6256256256256256,-0.03256007187500001
0.6306306306306306,-0.033549716328125
0.6356356356356356,-0.0345277571875
0.6406406406406406,-0.035500049765624986
0.6456456456456456,-0.03650331609375002
0.6506506506506506,-0.03714181546875
0.6556556556556556,-0.03855300625000001
0.6606606606606606,-0.039028909843750015
0.6656656656656657,-0.04079903734374998
0.6706706706706707,-0.04097428890624999
0.6756756756756757,-0.042414380781250004
0.6806806806806807,-0.043474124757812496
0.6856856856856857,-0.04479289710156249
0.6906906906906907,-0.04543375164062501
0.6956956956956957,-0.046988142265625005
0.7007007007007007,-0.04793798273437499
0.7057057057057057,-0.04914357101562499
0.7107107107107107,-0.050347507187499994
0.7157157157157157,-0.05158548435937499
0.7207207207207207,-0.0527366813359375
0.7257257257257257,-0.053966378125000006
0.7307307307307307,-0.055283687500000005
0.7357357357357357,-0.05654366250000002
0.7407407407407407,-0.058140078906249996
0.7457457457457457,-0.05883095312499998
0.7507507507507507,-0.06044983593749998
0.7557557557557557,-0.061770113281250025
0.7607607607607607,-0.063211315625
0.7657657657657657,-0.064308584375
0.7707707707707707,-0.06580521171874999
0.7757757757757757,-0.06728970625000001
0.7807807807807807,-0.06849035390624998
0.7857857857857857,-0.07002764843750002
0.7907907907907907,-0.07148598437499999
0.7957957957957957,-0.07297442187499996
0.8008008008008007,-0.074490484375
0.8058058058058059,-0.07602610156250003
