y,U,UpUp,V,VpVp,Pxx,Pyy
-2,1.1014,0.00045717,0.034078,0.00031656,2.9628e-05,2.3858e-05
-1.9984,1.1015,0.0004589,0.034158,0.00031769,2.9787e-05,2.3983e-05
-1.9968,1.1016,0.00046062,0.034238,0.00031882,2.9948e-05,2.4108e-05
-1.9952,1.1017,0.00046231,0.034318,0.00031998,3.0111e-05,2.4235e-05
-1.9936,1.1017,0.00046397,0.034399,0.0003212,3.0277e-05,2.4367e-05
-1.992,1.1018,0.00046561,0.03448,0.00032246,3.0445e-05,2.4501e-05
-1.9904,1.1019,0.00046722,0.034563,0.00032377,3.0616e-05,2.4639e-05
-1.9888,1.1019,0.00046871,0.034649,0.00032517,3.0784e-05,2.4803e-05
-1.9872,1.102,0.00047017,0.034735,0.00032656,3.0954e-05,2.4968e-05
-1.9856,1.1021,0.00047162,0.034821,0.00032792,3.1125e-05,2.5133e-05
-1.984,1.1022,0.00047303,0.034908,0.00032927,3.1298e-05,2.5299e-05
-1.9824,1.1022,0.00047445,0.034994,0.00033059,3.1472e-05,2.5465e-05
-1.9808,1.1023,0.00047642,0.035077,0.00033189,3.163e-05,2.5617e-05
-1.9792,1.1024,0.00047838,0.03516,0.00033318,3.1789e-05,2.5767e-05
-1.9776,1.1025,0.00048032,0.035243,0.00033445,3.1951e-05,2.5915e-05
-1.976,1.1025,0.00048226,0.035326,0.00033572,3.2115e-05,2.6062e-05
-1.9744,1.1026,0.00048419,0.035409,0.00033696,3.2281e-05,2.6208e-05
-1.9728,1.1027,0.0004861,0.035492,0.0003382,3.245e-05,2.6353e-05
-1.9712,1.1028,0.000488,0.035575,0.00033941,3.2621e-05,2.6496e-05
-1.9696,1.1028,0.0004899,0.035657,0.00034062,3.2794e-05,2.6638e-05
-1.968,1.1029,0.00049177,0.035742,0.000342,3.2972e-05,2.6785e-05
-1.9664,1.103,0.00049362,0.035828,0.00034368,3.316e-05,2.6944e-05
-1.9648,1.1031,0.00049547,0.035915,0.00034536,3.335e-05,2.7101e-05
-1.9632,1.1031,0.00049731,0.036001,0.00034701,3.3541e-05,2.7257e-05
-1.9616,1.1032,0.00049914,0.036088,0.00034866,3.3736e-05,2.7412e-05
-1.96,1.1033,0.00050095,0.036174,0.00035028,3.3932e-05,2.7565e-05
-1.9584,1.1034,0.00050275,0.036261,0.0003519,3.413e-05,2.7718e-05
-1.9568,1.1034,0.00050454,0.036347,0.00035349,3.4331e-05,2.7869e-05
-1.9552,1.1035,0.00050633,0.036434,0.00035508,3.4534e-05,2.8018e-05
-1.9536,1.1036,0.00050811,0.03652,0.00035664,3.4739e-05,2.8167e-05
-1.952,1.1036,0.00050987,0.036607,0.00035819,3.4946e-05,2.8314e-05
-1.9504,1.1037,0.00051187,0.036693,0.00035966,3.5135e-05,2.8471e-05
-1.9488,1.1038,0.00051406,0.036779,0.00036105,3.5309e-05,2.8635e-05
-1.9472,1.1039,0.00051624,0.036865,0.00036242,3.5486e-05,2.8798e-05
-1.9456,1.104,0.0005184,0.036951,0.00036378,3.5666e-05,2.896e-05
-1.944,1.104,0.00052056,0.037037,0.00036512,3.5847e-05,2.912e-05
-1.9424,1.1041,0.0005227,0.037123,0.00036645,3.6032e-05,2.9278e-05
-1.9408,1.1042,0.00052483,0.037209,0.00036777,3.6218e-05,2.9435e-05
-1.9392,1.1043,0.00052795,0.037287,0.00036921,3.6388e-05,2.9546e-05
-1.9376,1.1043,0.00052989,0.037378,0.00037097,3.6588e-05,2.9738e-05
-1.936,1.1044,0.00053182,0.037469,0.00037272,3.6791e-05,2.9929e-05
-1.9344,1.1045,0.00053374,0.037561,0.00037444,3.6996e-05,3.0119e-05
-1.9328,1.1046,0.00053564,0.037652,0.00037615,3.7203e-05,3.0307e-05
-1.9312,1.1046,0.00053754,0.037744,0.00037785,3.7413e-05,3.0494e-05
-1.9296,1.1047,0.00053942,0.037835,0.00037952,3.7625e-05,3.0679e-05
-1.928,1.1048,0.00054129,0.037927,0.00038118,3.7839e-05,3.0863e-05
-1.9264,1.1049,0.00054316,0.038018,0.00038282,3.8056e-05,3.1045e-05
-1.9248,1.1049,0.00054501,0.03811,0.00038445,3.8275e-05,3.1227e-05
-1.9232,1.105,0.00054685,0.038201,0.00038606,3.8497e-05,3.1406e-05
-1.9216,1.1051,0.00054867,0.038293,0.00038765,3.8721e-05,3.1585e-05
-1.92,1.1052,0.00055049,0.038384,0.00038923,3.8948e-05,3.1762e-05
-1.9184,1.1052,0.00055229,0.038476,0.00039078,3.9177e-05,3.1937e-05
-1.9168,1.1053,0.00055409,0.038567,0.00039233,3.9408e-05,3.2112e-05
-1.9152,1.1061,0.00055668,0.038682,0.00039423,4.4394e-05,3.2179e-05
-1.9136,1.1061,0.0005591,0.038775,0.00039591,4.4599e-05,3.2387e-05
-1.912,1.1062,0.00056153,0.038867,0.0003976,4.4805e-05,3.2596e-05
-1.9104,1.1056,0.00056361,0.038937,0.00039905,4.0205e-05,3.293e-05
-1.9088,1.1057,0.000566,0.03903,0.0004008,4.041e-05,3.3136e-05
-1.9072,1.1058,0.00056836,0.039123,0.00040258,4.0621e-05,3.334e-05
-1.9056,1.1059,0.0005707,0.039216,0.00040442,4.084e-05,3.3541e-05
-1.904,1.1059,0.00057298,0.03931,0.00040632,4.1067e-05,3.374e-05
-1.9024,1.106,0.00057526,0.039403,0.0004082,4.1296e-05,3.3936e-05
-1.9008,1.1061,0.00057752,0.039497,0.00041006,4.1527e-05,3.4132e-05
-1.8992,1.1062,0.00057978,0.039591,0.00041191,4.1761e-05,3.4325e-05
-1.8976,1.1063,0.00058202,0.039684,0.00041373,4.1998e-05,3.4518e-05
-1.896,1.1063,0.00058424,0.039778,0.00041554,4.2237e-05,3.4709e-05
-1.8944,1.1064,0.00058646,0.039872,0.00041734,4.2478e-05,3.4898e-05
-1.8928,1.1065,0.00058867,0.039965,0.00041911,4.2722e-05,3.5086e-05
