y,P
-2,0.060874
-1.9973,0.061105
-1.9947,0.061337
-1.992,0.061573
-1.9893,0.061814
-1.9867,0.062062
-1.984,0.06231
-1.9813,0.062557
-1.9787,0.0628
-1.976,0.063043
-1.9733,0.063285
-1.9706,0.063528
-1.968,0.063773
-1.9653,0.064022
-1.9626,0.064272
-1.96,0.064522
-1.9573,0.064772
-1.9546,0.065021
-1.952,0.065271
-1.9493,0.065523
-1.9466,0.065776
-1.944,0.066029
-1.9413,0.066282
-1.9386,0.066527
-1.936,0.066794
-1.9333,0.067061
-1.9306,0.067328
-1.928,0.067595
-1.9253,0.067863
-1.9226,0.06813
-1.9199,0.068397
-1.9173,0.068664
-1.9146,0.069067
-1.9119,0.069342
-1.9093,0.069478
-1.9066,0.069753
-1.9039,0.070029
-1.9013,0.070304
-1.8986,0.07058
-1.8959,0.070856
-1.8933,0.071131
-1.8906,0.071407
-1.8879,0.071683
-1.8853,0.071953
-1.8826,0.072236
-1.8799,0.072525
-1.8773,0.072816
-1.8746,0.073106
-1.8719,0.073397
-1.8692,0.073688
-1.8666,0.073979
-1.8639,0.07427
-1.8612,0.074561
-1.8586,0.074853
-1.8559,0.075146
-1.8532,0.075439
-1.8506,0.075732
-1.8479,0.076026
-1.8452,0.076469
-1.8426,0.076768
-1.8399,0.077068
-1.8372,0.077367
-1.8346,0.077667
-1.8319,0.077967
-1.8292,0.07814
-1.8266,0.078455
-1.8239,0.07877
-1.8212,0.079085
-1.8185,0.0794
-1.8159,0.079716
-1.8132,0.080031
-1.8105,0.080346
-1.8079,0.08066
-1.8052,0.080975
-1.8025,0.081304
-1.7999,0.081636
-1.7972,0.081968
-1.7945,0.0823
-1.7919,0.082632
-1.7892,0.082965
-1.7865,0.083297
-1.7839,0.08363
-1.7812,0.083955
-1.7785,0.084282
-1.7759,0.084622
-1.7732,0.084962
-1.7705,0.085303
-1.7678,0.085644
-1.7652,0.085984
-1.7625,0.086325
-1.7598,0.086666
-1.7572,0.087007
-1.7545,0.087348
-1.7518,0.087694
-1.7492,0.088061
-1.7465,0.088427
-1.7438,0.088794
-1.7412,0.089161
-1.7385,0.089703
-1.7358,0.090062
-1.7332,0.090422
-1.7305,0.090782
-1.7278,0.09096
-1.7252,0.091324
-1.7225,0.091692
-1.7198,0.092069
-1.7171,0.092452
-1.7145,0.092836
-1.7118,0.09322
-1.7091,0.093602
-1.7065,0.093981
-1.7038,0.094369
-1.7011,0.094757
-1.6985,0.095143
-1.6958,0.095529
-1.6931,0.095915
-1.6905,0.096301
-1.6878,0.096687
-1.6851,0.097088
-1.6825,0.097494
-1.6798,0.0979
-1.6771,0.098306
-1.6744,0.098712
-1.6718,0.099114
-1.6691,0.099515
-1.6664,0.099917
-1.6638,0.10032
-1.6611,0.10073
-1.6584,0.10116
-1.6558,0.10159
-1.6531,0.10201
-1.6504,0.10242
-1.6478,0.10284
-1.6451,0.10325
-1.6424,0.10368
-1.6398,0.10412
-1.6371,0.10456
-1.6344,0.10499
-1.6318,0.10543
-1.6291,0.10587
-1.6264,0.10631
-1.6237,0.10675
-1.6211,0.10719
-1.6184,0.10763
-1.6157,0.10808
-1.6131,0.10854
-1.6104,0.109
-1.6077,0.10946
-1.6051,0.10992
-1.6024,0.11038
-1.5997,0.11084
-1.5971,0.1113
-1.5944,0.11176
-1.5917,0.11223
-1.5891,0.1127
-1.5864,0.11318
-1.5837,0.11366
-1.5811,0.11414
-1.5784,0.11462
-1.5757,0.1151
-1.573,0.11558
-1.5704,0.11606
-1.5677,0.11655
-1.565,0.11703
-1.5624,0.11753
-1.5597,0.11803
-1.557,0.11854
-1.5544,0.11905
-1.5517,0.11955
-1.549,0.12006
-1.5464,0.12057
-1.5437,0.12107
-1.541,0.12158
-1.5384,0.12209
-1.5357,0.12262
-1.533,0.12316
-1.5304,0.12369
-1.5277,0.12423
-1.525,0.12477
-1.5223,0.1253
-1.5197,0.12584
-1.517,0.12638
-1.5143,0.12717
-1.5117,0.12743
-1.509,0.12797
-1.5063,0.12852
-1.5037,0.12907
-1.501,0.12962
-1.4983,0.13018
-1.4957,0.13074
-1.493,0.13135
-1.4903,0.13192
-1.4877,0.13248
-1.485,0.13305
-1.4823,0.13361
-1.4797,0.13418
-1.477,0.13475
-1.4743,0.13532
-1.4716,0.13591
-1.469,0.1365
-1.4663,0.1371
-1.4636,0.1377
-1.461,0.13858
-1.4583,0.13918
-1.4556,0.13978
-1.453,0.1401
