y,P
-0.82683,0.98835
-0.82282,0.98828
-0.81882,0.98822
-0.81481,0.98816
-0.81081,0.9881
-0.80681,0.98803
-0.8028,0.98797
-0.7988,0.9879
-0.79479,0.98783
-0.79079,0.98776
-0.78679,0.98769
-0.78278,0.98761
-0.77878,0.98753
-0.77477,0.98745
-0.77077,0.98737
-0.76677,0.98729
-0.76276,0.98721
-0.75876,0.98712
-0.75475,0.98704
-0.75075,0.98695
-0.74675,0.98685
-0.74274,0.98676
-0.73874,0.98666
-0.73473,0.98656
-0.73073,0.98646
-0.72673,0.98636
-0.72272,0.98625
-0.71872,0.98614
-0.71471,0.98603
-0.71071,0.98592
-0.70671,0.9858
-0.7027,0.98568
-0.6987,0.98556
-0.69469,0.98543
-0.69069,0.98531
-0.68669,0.98518
-0.68268,0.98505
-0.67868,0.98492
-0.67467,0.98478
-0.67067,0.98465
-0.66667,0.98451
-0.66266,0.98437
-0.65866,0.98422
-0.65465,0.98407
-0.65065,0.98392
-0.64665,0.98376
-0.64264,0.98361
-0.63864,0.98346
-0.63463,0.9833
-0.63063,0.98313
-0.62663,0.98296
-0.62262,0.9828
-0.61862,0.98263
-0.61461,0.98245
-0.61061,0.98228
-0.60661,0.9821
-0.6026,0.98192
-0.5986,0.98174
-0.59459,0.98156
-0.59059,0.98137
-0.58659,0.98118
-0.58258,0.981
-0.57858,0.9808
-0.57457,0.98061
-0.57057,0.98041
-0.56657,0.98022
-0.56256,0.98002
-0.55856,0.97981
-0.55455,0.97961
-0.55055,0.97941
-0.54655,0.97921
-0.54254,0.979
-0.53854,0.97879
-0.53453,0.97858
-0.53053,0.97836
-0.52653,0.97815
-0.52252,0.97794
-0.51852,0.97772
-0.51451,0.97751
-0.51051,0.97729
-0.50651,0.97708
-0.5025,0.97686
-0.4985,0.97664
-0.49449,0.97642
-0.49049,0.97621
-0.48649,0.97599
-0.48248,0.97577
-0.47848,0.97556
-0.47447,0.97534
-0.47047,0.97512
-0.46647,0.97489
-0.46246,0.97467
-0.45846,0.97445
-0.45445,0.97422
-0.45045,0.974
-0.44645,0.97378
-0.44244,0.97355
-0.43844,0.97333
-0.43443,0.97311
-0.43043,0.97288
-0.42643,0.97266
-0.42242,0.97243
-0.41842,0.97221
-0.41441,0.97198
-0.41041,0.97176
-0.40641,0.97154
-0.4024,0.97132
-0.3984,0.97111
-0.39439,0.97089
-0.39039,0.97067
-0.38639,0.97046
-0.38238,0.97024
-0.37838,0.97003
-0.37437,0.96982
-0.37037,0.96961
-0.36637,0.9694
-0.36236,0.9692
-0.35836,0.96899
-0.35435,0.96879
-0.35035,0.96859
-0.34635,0.96839
-0.34234,0.96819
-0.33834,0.968
-0.33433,0.9678
-0.33033,0.96761
-0.32633,0.96742
-0.32232,0.96722
-0.31832,0.96703
-0.31431,0.96685
-0.31031,0.96666
-0.30631,0.96648
-0.3023,0.9663
-0.2983,0.96613
-0.29429,0.96596
-0.29029,0.96579
-0.28629,0.96561
-0.28228,0.96544
-0.27828,0.96528
-0.27427,0.96512
-0.27027,0.96496
-0.26627,0.96481
-0.26226,0.96466
-0.25826,0.96451
-0.25425,0.96438
-0.25025,0.96424
-0.24625,0.9641
-0.24224,0.96396
-0.23824,0.96382
-0.23423,0.9637
-0.23023,0.96358
-0.22623,0.96346
-0.22222,0.96334
-0.21822,0.96322
-0.21421,0.96311
-0.21021,0.963
-0.20621,0.9629
-0.2022,0.9628
-0.1982,0.9627
-0.19419,0.96261
-0.19019,0.96252
-0.18619,0.96244
-0.18218,0.96235
-0.17818,0.96228
-0.17417,0.9622
-0.17017,0.96213
-0.16617,0.96207
-0.16216,0.962
-0.15816,0.96194
-0.15415,0.96189
-0.15015,0.96183
-0.14615,0.96178
-0.14214,0.96174
-0.13814,0.9617
-0.13413,0.96165
-0.13013,0.96162
-0.12613,0.96158
-0.12212,0.96154
-0.11812,0.96151
-0.11411,0.96148
-0.11011,0.96145
-0.10611,0.96142
-0.1021,0.9614
-0.098098,0.96137
-0.094094,0.96134
-0.09009,0.96132
-0.086086,0.9613
-0.082082,0.96128
-0.078078,0.96126
-0.074074,0.96124
-0.07007,0.96123
-0.066066,0.96122
-0.062062,0.9612
-0.058058,0.96119
-0.054054,0.96118
-0.05005,0.96118
-0.046046,0.96117
-0.042042,0.96115
-0.038038,0.96115
-0.034034,0.96115
-0.03003,0.96115
-0.026026,0.96114
-0.022022,0.96115
-0.018018,0.96114
-0.014014,0.96114
-0.01001,0.96114
-0.006006,0.96115
-0.002002,0.96115
0.002002,0.96116
0.006006,0.96116
0.01001,0.96117
0.014014,0.96117
0.018018,0.96118
0.022022,0.96118
0.026026,0.96119
0.03003,0.9612
0.034034,0.96121
0.038038,0.96121
0.042042,0.96122
0.046046,0.96123
0.05005,0.96125
0.054054,0.96126
0.058058,0.96127
0.062062,0.96129
0.066066,0.96131
0.07007,0.96133
0.074074,0.96135
0.078078,0.96137
0.082082,0.96139
0.086086,0.96141
0.09009,0.96143
0.094094,0.96146
0.098098,0.9615
0.1021,0.96152
0.10611,0.96155
0.11011,0.96158
0.11411,0.96162
0.11812,0.96166
0.12212,0.96169
0.12613,0.96173
0.13013,0.96177
0.13413,0.96181
0.13814,0.96186
0.14214,0.96191
0.14615,0.96196
0.15015,0.96201
0.15415,0.96206
0.15816,0.96212
0.16216,0.96218
0.16617,0.96224
0.17017,0.9623
0.17417,0.96238
0.17818,0.96245
0.18218,0.96253
0.18619,0.9626
0.19019,0.96268
0.19419,0.96278
0.1982,0.96287
0.2022,0.96297
0.20621,0.96307
0.21021,0.96317
0.21421,0.96327
0.21822,0.96339
0.22222,0.9635
0.22623,0.96362
0.23023,0.96374
0.23423,0.96387
0.23824,0.964
0.24224,0.96413
0.24625,0.96426
0.25025,0.96441
0.25425,0.96455
0.25826,0.96469
0.26226,0.96484
0.26627,0.96499
0.27027,0.96513
0.27427,0.96528
0.27828,0.96543
0.28228,0.96559
0.28629,0.96575
0.29029,0.96591
0.29429,0.96607
0.2983,0.96624
0.3023,0.96641
0.30631,0.96658
0.31031,0.96675
0.31431,0.96692
0.31832,0.96709
0.32232,0.96727
0.32633,0.96745
0.33033,0.96762
0.33433,0.96781
0.33834,0.968
0.34234,0.96818
0.34635,0.96837
0.35035,0.96857
0.35435,0.96876
0.35836,0.96896
0.36236,0.96916
0.36637,0.96937
0.37037,0.96957
0.37437,0.96978
0.37838,0.96999
0.38238,0.97019
0.38639,0.97041
0.39039,0.97062
0.39439,0.97083
0.3984,0.97104
0.4024,0.97126
0.40641,0.97148
0.41041,0.97169
0.41441,0.97191
0.41842,0.97213
0.42242,0.97234
0.42643,0.97257
0.43043,0.97279
0.43443,0.97302
0.43844,0.97324
0.44244,0.97347
0.44645,0.9737
0.45045,0.97392
0.45445,0.97415
0.45846,0.97438
0.46246,0.97461
0.46647,0.97483
0.47047,0.97506
0.47447,0.97529
0.47848,0.97551
0.48248,0.97574
0.48649,0.97597
0.49049,0.97619
0.49449,0.97642
0.4985,0.97664
0.5025,0.97687
0.50651,0.97709
0.51051,0.97732
0.51451,0.97755
0.51852,0.97777
0.52252,0.97799
0.52653,0.97821
0.53053,0.97844
0.53453,0.97866
0.53854,0.97888
0.54254,0.97909
0.54655,0.97931
0.55055,0.97953
0.55455,0.97974
0.55856,0.97995
0.56256,0.98017
0.56657,0.98037
0.57057,0.98058
0.57457,0.98078
0.57858,0.98098
0.58258,0.98118
0.58659,0.98138
0.59059,0.98157
0.59459,0.98176
0.5986,0.98195
0.6026,0.98214
0.60661,0.98232
0.61061,0.9825
0.61461,0.98268
0.61862,0.98285
0.62262,0.98302
0.62663,0.98318
0.63063,0.98335
0.63463,0.98351
0.63864,0.98367
0.64264,0.98382
0.64665,0.98397
0.65065,0.98411
0.65465,0.98426
0.65866,0.9844
0.66266,0.98454
0.66667,0.98467
0.67067,0.98481
0.67467,0.98494
0.67868,0.98506
0.68268,0.98519
0.68669,0.98532
0.69069,0.98544
0.69469,0.98556
0.6987,0.98567
0.7027,0.98579
0.70671,0.9859
0.71071,0.98601
0.71471,0.98612
0.71872,0.98622
0.72272,0.98632
0.72673,0.98642
0.73073,0.98653
0.73473,0.98662
0.73874,0.98672
0.74274,0.98681
0.74675,0.9869
0.75075,0.98699
0.75475,0.98708
0.75876,0.98716
0.76276,0.98725
0.76677,0.98733
0.77077,0.98741
0.77477,0.98749
0.77878,0.98757
0.78278,0.98765
0.78679,0.98772
0.79079,0.98779
0.79479,0.98787
0.7988,0.98794
0.8028,0.98801
0.80681,0.98808
0.81081,0.98814
0.81481,0.98821
0.81882,0.98828
0.82282,0.98834
0.82683,0.9884
0.83083,0.98846
0.83483,0.98852
0.83884,0.98858
0.84284,0.98864
0.84685,0.9887
0.85085,0.98875
0.85485,0.98881
0.85886,0.98886
0.86286,0.98892
0.86687,0.98897
0.87087,0.98902
0.87487,0.98907
0.87888,0.98912
0.88288,0.98917
0.88689,0.98922
0.89089,0.98927
0.89489,0.98932
0.8989,0.98937
0.9029,0.98941
0.90691,0.98946
0.91091,0.9895
0.91491,0.98955
0.91892,0.98959
0.92292,0.98963
0.92693,0.98967
0.93093,0.98972
0.93493,0.98976
0.93894,0.9898
0.94294,0.98984
0.94695,0.98988
0.95095,0.98991
0.95495,0.98995
0.95896,0.98999
0.96296,0.99003
0.96697,0.99006
0.97097,0.9901
0.97497,0.99014
0.97898,0.99017
0.98298,0.99021
0.98699,0.99024
0.99099,0.99028
0.99499,0.99031
0.999,0.99035
1.003,0.99038
1.007,0.99041
1.011,0.99045
1.015,0.99048
1.019,0.99051
1.023,0.99054
1.027,0.99058
1.031,0.99061
1.035,0.99064
1.039,0.99067
1.043,0.9907
1.047,0.99073
1.0511,0.99076
1.0551,0.99079
1.0591,0.99082
1.0631,0.99085
1.0671,0.99088
1.0711,0.99091
1.0751,0.99094
1.0791,0.99097
1.0831,0.991
1.0871,0.99102
1.0911,0.99105
1.0951,0.99108
1.0991,0.99111
1.1031,0.99114
1.1071,0.99116
1.1111,0.99119
1.1151,0.99122
1.1191,0.99124
1.1231,0.99127
1.1271,0.9913
1.1311,0.99132
1.1351,0.99135
1.1391,0.99138
1.1431,0.9914
1.1471,0.99143
1.1512,0.99145
1.1552,0.99148
1.1592,0.99151
1.1632,0.99153
1.1672,0.99156
1.1712,0.99158
1.1752,0.99161
1.1792,0.99163
1.1832,0.99166
1.1872,0.99168
1.1912,0.9917
1.1952,0.99173
1.1992,0.99175
1.2032,0.99178
1.2072,0.9918
1.2112,0.99183
1.2152,0.99185
1.2192,0.99187
1.2232,0.9919
1.2272,0.99192
1.2312,0.99194
1.2352,0.99197
1.2392,0.99199
1.2432,0.99201
1.2472,0.99203
1.2513,0.99206
1.2553,0.99208
1.2593,0.9921
1.2633,0.99212
1.2673,0.99215
1.2713,0.99217
1.2753,0.99219
1.2793,0.99221
1.2833,0.99224
1.2873,0.99226
1.2913,0.99228
1.2953,0.9923
1.2993,0.99232
1.3033,0.99234
1.3073,0.99237
1.3113,0.99239
1.3153,0.99241
1.3193,0.99243
1.3233,0.99245
1.3273,0.99247
1.3313,0.99249
1.3353,0.99251
1.3393,0.99253
1.3433,0.99255
1.3473,0.99257
1.3514,0.99259
1.3554,0.99262
1.3594,0.99264
1.3634,0.99266
1.3674,0.99268
1.3714,0.9927
1.3754,0.99272
1.3794,0.99274
1.3834,0.99276
1.3874,0.99278
1.3914,0.99279
1.3954,0.99281
1.3994,0.99283
1.4034,0.99285
1.4074,0.99287
1.4114,0.99289
1.4154,0.99291
1.4194,0.99293
1.4234,0.99295
1.4274,0.99297
1.4314,0.99299
1.4354,0.99301
1.4394,0.99303
1.4434,0.99304
1.4474,0.99306
1.4515,0.99308
1.4555,0.9931
1.4595,0.99312
1.4635,0.99314
1.4675,0.99315
1.4715,0.99317
1.4755,0.99319
1.4795,0.99321
1.4835,0.99323
1.4875,0.99324
1.4915,0.99326
1.4955,0.99328
1.4995,0.9933
1.5035,0.99332
1.5075,0.99333
1.5115,0.99335
1.5155,0.99337
1.5195,0.99338
1.5235,0.9934
1.5275,0.99342
1.5315,0.99344
1.5355,0.99346
1.5395,0.99347
1.5435,0.99349
1.5475,0.99351
1.5516,0.99352
1.5556,0.99354
1.5596,0.99356
1.5636,0.99357
1.5676,0.99359
1.5716,0.99361
1.5756,0.99362
1.5796,0.99364
1.5836,0.99366
1.5876,0.99367
1.5916,0.99369
1.5956,0.99371
1.5996,0.99372
1.6036,0.99374
1.6076,0.99375
1.6116,0.99377
1.6156,0.99379
1.6196,0.9938
1.6236,0.99382
1.6276,0.99383
1.6316,0.99385
1.6356,0.99387
1.6396,0.99388
1.6436,0.9939
1.6476,0.99391
1.6517,0.99393
