x,y
-2.0,-3.82927099914776e-05
-1.995995995995996,-3.8044232482888074e-05
-1.991991991991992,-3.800554262697875e-05
-1.987987987987988,-3.784388830565394e-05
-1.983983983983984,-3.802023208005628e-05
-1.97997997997998,-3.791890648145724e-05
-1.975975975975976,-3.679056380163914e-05
-1.971971971971972,-3.694511128990441e-05
-1.967967967967968,-3.771889805555956e-05
-1.9639639639639639,-3.790455960697714e-05
-1.95995995995996,-3.751584775998906e-05
-1.955955955955956,-3.7323773803728255e-05
-1.951951951951952,-3.704803973998694e-05
-1.947947947947948,-3.6701329724032894e-05
-1.9439439439439439,-3.608207197260821e-05
-1.93993993993994,-3.578651464848648e-05
-1.935935935935936,-3.566936204836557e-05
-1.931931931931932,-3.544736533818427e-05
-1.927927927927928,-3.539709296877108e-05
-1.9239239239239239,-3.482453076786296e-05
-1.91991991991992,-3.450636825564485e-05
-1.915915915915916,-3.419473779911475e-05
-1.911911911911912,-3.426620384251039e-05
-1.907907907907908,-3.3027615661665455e-05
-1.9039039039039038,-3.283183845211729e-05
-1.8998998998999,-3.0183296870739396e-05
-1.8958958958958958,-3.2591663858119735e-05
-1.8918918918918919,-3.379937150072704e-05
-1.887887887887888,-2.9122017049521e-05
-1.8838838838838838,-3.281125514407318e-05
-1.87987987987988,-2.827611047057088e-05
-1.8758758758758758,-2.9687665130652408e-05
-1.8718718718718719,-2.916860472411409e-05
-1.867867867867868,-2.9549473211674948e-05
-1.8638638638638638,-2.9409773559523067e-05
-1.85985985985986,-2.9538365124530397e-05
-1.8558558558558558,-2.9449613793933183e-05
-1.8518518518518519,-2.9688407513446535e-05
-1.8478478478478477,-2.98153594482653e-05
-1.8438438438438438,-3.0451256201172172e-05
-1.83983983983984,-3.063383178711354e-05
-1.8358358358358358,-3.0025873437505846e-05
-1.8318318318318318,-2.9365082128918196e-05
-1.8278278278278277,-2.8569619140647595e-05
-1.8238238238238238,-2.7750189483630172e-05
-1.8198198198198199,-2.7000273315369583e-05
-1.8158158158158157,-2.623088218380032e-05
-1.8118118118118118,-2.535957728885818e-05
-1.8078078078078077,-2.6364716644328157e-05
-1.8038038038038038,-2.4975664746088033e-05
-1.7997997997997999,-2.3974305230725634e-05
-1.7957957957957957,-2.328537808837794e-05
-1.7917917917917918,-2.2075859716808033e-05
-1.7877877877877877,-2.1128659667926653e-05
-1.7837837837837838,-2.0654482867366042e-05
-1.7797797797797799,-1.9694658135935295e-05
-1.7757757757757757,-1.6184888614712012e-05
