author,title,doi
Parnandeau,"Experimental and numerical studies of the flow over a circular cylinder at Reynolds number 3900",https://doi.org/10.1063/1.2957018
Dzanic,"Partially-averaged Navier-Stokes simulations of turbulence within a high-order flux reconstruction framework",https://doi.org/10.1016/j.jcp.2022.110992
