x,y
-0.9226932668,1.3352059925
-0.897755611,1.3401997503
-0.8778054863,1.3451935081
-0.8528678304,1.3501872659
-0.8279301746,1.3651685393
-0.7930174564,1.3751560549
-0.7680798005,1.3851435705
-0.7431421446,1.3901373283
-0.72319202,1.3901373283
-0.7032418953,1.3801498127
-0.6882793017,1.3501872659
-0.6733167082,1.3052434457
-0.6633416459,1.2353308365
-0.6483790524,1.1304619226
-0.63840399,1.0056179775
-0.6284289277,0.8558052434
-0.6134663342,0.7009987516
-0.6034912718,0.5561797753
-0.5885286783,0.436329588
-0.578553616,0.3414481898
-0.5635910224,0.2615480649
-0.5536159601,0.2066167291
-0.5436408978,0.1666666667
-0.5336658354,0.131710362
-0.5187032419,0.1167290886
-0.4987531172,0.0867665418
-0.4688279302,0.0617977528
-0.4438902743,0.0518102372
-0.4239401496,0.0368289638
-0.3790523691,0.0168539326
-0.3391521197,0.0018726592
-0.3142144638,-0.0131086142
-0.2743142145,-0.0330836454
-0.2443890274,-0.043071161
-0.2094763092,-0.0730337079
-0.174563591,-0.0830212235
-0.1396508728,-0.0930087391
-0.0997506234,-0.1029962547
-0.0648379052,-0.1079900125
-0.0349127182,-0.1179775281
-0.0049875312,-0.1179775281
0.0448877805,-0.1179775281
0.0947630923,-0.1079900125
0.1346633416,-0.0930087391
0.1895261845,-0.0780274657
0.2294264339,-0.0630461923
0.2693266833,-0.0480649189
0.3142144638,-0.018102372
0.3591022444,0.0018726592
0.3840399002,0.0168539326
0.4289276808,0.0418227216
0.4538653367,0.056803995
0.4837905237,0.0717852684
0.5037406484,0.0967540574
0.5236907731,0.1167290886
0.5386533666,0.1367041199
0.5486284289,0.1766541823
0.5586034913,0.2215980025
0.5685785536,0.2865168539
0.5835411471,0.3714107366
0.5935162095,0.4762796504
0.608478803,0.6111111111
0.6184538653,0.7559300874
0.6334164589,0.9107365793
0.6433915212,1.0605493134
0.6533665835,1.1803995006
0.6633416459,1.2702871411
0.6783042394,1.3352059925
0.6932668329,1.3601747815
0.7032418953,1.3801498127
0.7182044888,1.3901373283
0.7581047382,1.3901373283
0.8229426434,1.3701622971
0.8578553616,1.3551810237
0.9127182045,1.3401997503
0.957605985,1.3252184769
