y,P
-1.2181,0.12083
-1.2155,0.12131
-1.2128,0.12181
-1.2101,0.12232
-1.2075,0.12284
-1.2048,0.12358
-1.2021,0.12407
-1.1995,0.12432
-1.1968,0.12483
-1.1941,0.12534
-1.1915,0.12584
-1.1888,0.12634
-1.1861,0.12685
-1.1835,0.12736
-1.1808,0.12787
-1.1781,0.12837
-1.1755,0.12886
-1.1728,0.12939
-1.1701,0.12991
-1.1674,0.13042
-1.1648,0.13093
-1.1621,0.13145
-1.1594,0.13198
-1.1568,0.13249
-1.1541,0.13301
-1.1514,0.13352
-1.1488,0.13402
-1.1461,0.13456
-1.1434,0.13509
-1.1408,0.13561
-1.1381,0.13613
-1.1354,0.13664
-1.1328,0.13715
-1.1301,0.13767
-1.1274,0.13819
-1.1247,0.13871
-1.1221,0.13921
-1.1194,0.13973
-1.1167,0.14024
-1.1141,0.14076
-1.1114,0.14129
-1.1087,0.14182
-1.1061,0.14234
-1.1034,0.14282
-1.1007,0.14333
-1.0981,0.14385
-1.0954,0.14437
-1.0927,0.14489
-1.0901,0.1454
-1.0874,0.14591
-1.0847,0.14643
-1.0821,0.14724
-1.0794,0.14774
-1.0767,0.14824
-1.074,0.14874
-1.0714,0.14895
-1.0687,0.14949
-1.066,0.15001
-1.0634,0.1505
-1.0607,0.15098
-1.058,0.15148
-1.0554,0.15198
-1.0527,0.15247
-1.05,0.15297
-1.0474,0.15347
-1.0447,0.15395
-1.042,0.15444
-1.0394,0.15495
-1.0367,0.15543
-1.034,0.15592
-1.0314,0.15705
-1.0287,0.1572
-1.026,0.15766
-1.0233,0.15811
-1.0207,0.15858
-1.018,0.15906
-1.0153,0.15955
-1.0127,0.16002
-1.01,0.16045
-1.0073,0.16091
-1.0047,0.16136
-1.002,0.1618
-0.99933,0.16224
-0.99666,0.16268
-0.994,0.16312
-0.99133,0.16356
-0.98866,0.16398
-0.98599,0.16438
-0.98332,0.16479
-0.98065,0.16521
-0.97799,0.16562
-0.97532,0.16635
-0.97265,0.16637
-0.96998,0.1668
-0.96731,0.16723
-0.96464,0.16794
-0.96197,0.16831
-0.95931,0.16863
-0.95664,0.16864
-0.95397,0.16901
-0.9513,0.16938
-0.94863,0.16973
-0.94596,0.17005
-0.9433,0.17037
-0.94063,0.17069
-0.93796,0.171
-0.93529,0.17128
-0.93262,0.1716
-0.92995,0.17188
-0.92728,0.17214
-0.92462,0.1724
-0.92195,0.17273
-0.91928,0.1733
-0.91661,0.17354
-0.91394,0.1734
-0.91127,0.17358
-0.90861,0.17375
-0.90594,0.17396
-0.90327,0.17415
-0.9006,0.17434
-0.89793,0.17452
-0.89526,0.17461
-0.8926,0.17474
-0.88993,0.17488
-0.88726,0.17501
-0.88459,0.17514
-0.88192,0.17516
-0.87925,0.17522
-0.87658,0.17528
-0.87392,0.17538
-0.87125,0.17541
-0.86858,0.17538
-0.86591,0.17535
-0.86324,0.17529
-0.86057,0.17526
-0.85791,0.17525
-0.85524,0.1756
-0.85257,0.17542
-0.8499,0.17502
-0.84723,0.17532
-0.84456,0.1752
-0.84189,0.17472
-0.83923,0.1747
-0.83656,0.17459
-0.83389,0.17444
-0.83122,0.17425
-0.82855,0.17404
-0.82588,0.17434
-0.82322,0.17416
-0.82055,0.17378
-0.81788,0.1731
-0.81521,0.17286
-0.81254,0.17265
-0.80987,0.1725
-0.8072,0.17246
-0.80454,0.17243
-0.80187,0.17238
-0.7992,0.17233
-0.79653,0.17258
-0.79386,0.17282
-0.79119,0.17351
-0.78853,0.17399
-0.78586,0.17453
-0.78319,0.17495
-0.78052,0.17505
-0.77785,0.17541
-0.77518,0.17578
-0.77252,0.1762
-0.76985,0.17662
-0.76718,0.17715
-0.76451,0.1776
-0.76184,0.17808
-0.75917,0.17867
-0.7565,0.1793
-0.75384,0.17996
-0.75117,0.18065
-0.7485,0.18193
-0.74583,0.18401
-0.74316,0.18611
-0.74049,0.18874
-0.73783,0.19171
-0.73516,0.19487
-0.73249,0.1982
-0.72982,0.20178
-0.72715,0.20804
-0.72448,0.21303
-0.72181,0.21823
-0.71915,0.22199
-0.71648,0.2307
-0.71381,0.23902
-0.71114,0.2493
