y,U,UpUp,V,VpVp,Pxx,Pyy
0.7547,1.336,0.004799,-0.10495,0.0078956,0.0011871,0.0022851
0.7563,1.3363,0.0046766,-0.10472,0.0077946,0.0011974,0.0022284
0.7579,1.3358,0.0045746,-0.10444,0.0077053,0.0011881,0.0022018
0.7595,1.3353,0.0044719,-0.10416,0.0076158,0.0011788,0.0021748
0.7611,1.3339,0.004369,-0.10382,0.007521,0.0011574,0.002153
0.76271,1.3334,0.0042736,-0.10353,0.007431,0.0011527,0.0021297
0.76431,1.3329,0.0041776,-0.10324,0.0073409,0.0011479,0.0021061
0.76591,1.3324,0.0040837,-0.10296,0.0072526,0.0011432,0.002083
0.76751,1.3318,0.0040029,-0.10269,0.0071747,0.0011395,0.0020629
0.76911,1.3313,0.0039214,-0.10242,0.0070967,0.0011358,0.0020426
0.77071,1.3308,0.0038413,-0.10214,0.007019,0.0011334,0.0020216
0.77231,1.3302,0.0037642,-0.10186,0.0069417,0.0011333,0.0019994
0.77391,1.3297,0.0036931,-0.10158,0.0068674,0.0011308,0.0019758
0.77551,1.3292,0.0036292,-0.10131,0.0067975,0.0011267,0.0019543
0.77711,1.3286,0.0035666,-0.10104,0.0067284,0.0011221,0.0019334
0.77871,1.3281,0.0035034,-0.10077,0.0066592,0.0011172,0.0019121
0.78031,1.3275,0.0034406,-0.1005,0.0065886,0.0011146,0.0018924
0.78191,1.327,0.0033799,-0.10022,0.0065135,0.001106,0.001871
0.78351,1.3265,0.0033187,-0.099935,0.0064382,0.0010974,0.0018498
0.78511,1.3259,0.0032673,-0.099661,0.0063715,0.0010905,0.0018283
0.78671,1.3254,0.0032265,-0.099397,0.0063146,0.0010836,0.0018098
0.78832,1.3248,0.0031853,-0.099133,0.0062579,0.0010767,0.0017914
0.78992,1.3243,0.0031437,-0.098869,0.0062012,0.0010698,0.0017733
0.79152,1.3245,0.0031042,-0.098665,0.0061488,0.0010783,0.001753
0.79312,1.3239,0.0030616,-0.0984,0.0060914,0.0010713,0.0017348
0.79472,1.3234,0.0030185,-0.098133,0.006033,0.0010641,0.0017162
0.79632,1.3221,0.002963,-0.097787,0.0059557,0.0010365,0.0016954
0.79792,1.3215,0.0029243,-0.097516,0.0058962,0.0010301,0.0016773
0.79952,1.3209,0.0028891,-0.097268,0.0058486,0.0010266,0.0016658
0.80112,1.3204,0.0028484,-0.097,0.0057913,0.0010207,0.0016495
0.80272,1.3198,0.0028227,-0.096723,0.0057385,0.0010147,0.0016334
0.80432,1.3193,0.0027897,-0.096461,0.0056887,0.0010094,0.0016195
0.80592,1.3187,0.0027564,-0.096201,0.0056401,0.0010038,0.0016052
0.80752,1.3182,0.0027228,-0.095941,0.0055918,0.00099812,0.0015908
0.80912,1.3176,0.0026887,-0.095681,0.0055433,0.00099251,0.0015766
0.81072,1.3171,0.0026541,-0.095422,0.0054946,0.00098697,0.0015625
0.81232,1.3165,0.002619,-0.095163,0.0054457,0.00098148,0.0015486
0.81393,1.316,0.0025885,-0.094906,0.0054022,0.00097605,0.0015369
0.81553,1.3154,0.0025552,-0.094632,0.0053478,0.00096922,0.0015203
0.81713,1.3149,0.0025328,-0.09437,0.0053043,0.00096271,0.001507
0.81873,1.3143,0.0025106,-0.094109,0.0052615,0.00095609,0.0014938
0.82033,1.3138,0.0024879,-0.093848,0.0052186,0.00094946,0.0014804
0.82193,1.3133,0.0024716,-0.093586,0.0051794,0.0009431,0.0014681
0.82353,1.3127,0.0024487,-0.093328,0.0051391,0.0009362,0.0014549
0.82513,1.3122,0.0024255,-0.09307,0.0050989,0.00092933,0.0014416
0.82673,1.3116,0.002402,-0.092811,0.0050587,0.00092251,0.0014281
0.82833,1.3111,0.0023786,-0.092555,0.005019,0.00091573,0.0014149
0.82993,1.3105,0.0023552,-0.092301,0.0049798,0.00090898,0.0014019
0.83153,1.31,0.0023329,-0.092052,0.0049418,0.00090209,0.0013899
0.83313,1.3095,0.0023105,-0.091805,0.0049044,0.00089505,0.0013781
0.83473,1.3089,0.0022879,-0.091558,0.0048663,0.0008881,0.0013661
0.83633,1.3084,0.0022703,-0.091308,0.0048307,0.00088141,0.0013549
0.83794,1.3079,0.0022527,-0.091052,0.0047945,0.00087493,0.001342
0.83954,1.3073,0.0022359,-0.090798,0.0047603,0.00086866,0.0013295
0.84114,1.3068,0.0022195,-0.090547,0.0047275,0.00086245,0.0013174
0.84274,1.3063,0.0022025,-0.090295,0.0046945,0.00085625,0.0013051
0.84434,1.3057,0.0021849,-0.090044,0.0046615,0.00085006,0.0012927
0.84594,1.3052,0.0021668,-0.089793,0.0046282,0.00084387,0.0012802
0.84754,1.3054,0.0021527,-0.089605,0.0046019,0.0008528,0.0012674
0.84914,1.3049,0.0021389,-0.089351,0.0045678,0.00084604,0.0012533
0.85074,1.3044,0.0021237,-0.089102,0.0045358,0.00083941,0.0012417
0.85234,1.3039,0.0021077,-0.088855,0.0045048,0.0008329,0.0012301
0.85394,1.3034,0.0020922,-0.088611,0.0044752,0.00082654,0.0012189
0.85554,1.3028,0.0020784,-0.088371,0.0044478,0.00082043,0.0012081
0.85714,1.3015,0.0020645,-0.088074,0.0044165,0.00079996,0.0011999
0.85874,1.301,0.0020521,-0.08783,0.0043879,0.0007938,0.0011893
0.86034,1.3005,0.0020392,-0.087586,0.0043591,0.00078764,0.0011785
0.86194,1.3,0.0020257,-0.087339,0.0043302,0.00078163,0.0011674
0.86355,1.2995,0.0020116,-0.087091,0.0043011,0.0007757,0.0011561
