y,rho,u,v,p,uu,vv,ww,uv,uw,vw,pp,Sij^2
-1.8998998998999,0.995648606557376,1.1339754098360655,0.010303179508196713,17.72211475409835,0.00029731087073425755,0.0003642653116940063,2.7234787667837677e-06,-0.00012855220542191612,1.110935357094805e-06,-3.4700462557564514e-07,-0.002121849233901685,0.01848141803278688
-1.8958958958958958,0.9956283898305082,1.1344144067796609,0.010479335593220344,17.72151694915254,0.00029886894498698524,0.00036848750857551284,2.772427044500359e-06,-0.000129663507716175,1.0038176490010406e-06,-3.097751089297201e-07,0.0015658344586881867,0.01871247457627119
-1.8918918918918919,0.9956081818181814,1.1348454545454545,0.010667962727272731,17.72107272727273,0.000310339752066513,0.0003722476621586107,2.8175968180373e-06,-0.00013096173757851104,1.116161264338845e-06,-4.3656530871846735e-07,-0.0006913325619279931,0.018939163636363637
-1.887887887887888,0.995591621621622,1.135264864864865,0.010826171171171175,17.720612612612623,0.0003052181348912608,0.00037626572948421373,2.8764129853548917e-06,-0.00013227445434624285,1.126937966944297e-06,-2.7538236892366543e-07,-0.000832087006472193,0.01916818918918919
-1.8838838838838838,0.9955761363636362,1.1355806818181817,0.01091403409090909,17.720227272727286,0.0003156059904441122,0.00037989738258974675,2.952853445472108e-06,-0.00013327763797778627,7.121497809555854e-07,-5.927844047494751e-08,0.000590857437316572,0.019322409090909088
-1.87987987987988,0.9955636470588234,1.1358705882352935,0.011045435294117644,17.719882352941195,0.0003180067820085508,0.0003813444768105193,2.9302809612864932e-06,-0.00013443214366781232,1.4327992815224198e-06,-4.764973447415923e-07,0.0010635155701379517,0.019473505882352946
-1.8758758758758758,0.9955660550458716,1.135804587155963,0.010930100917431193,17.719935779816534,0.00031766456611426186,0.00038303849026504486,2.941901357487827e-06,-0.00013334866835283503,9.272568360363522e-07,-2.1061541325490297e-07,0.0015823811958171063,0.019430477064220176
-1.8718718718718719,0.9955568103448265,1.1360112068965509,0.010990836206896549,17.71962931034485,0.0003190550468217257,0.00038423117464558555,2.9337536764596474e-06,-0.0001338596559229948,1.2506106000206624e-06,-4.3130064420799763e-07,0.0037888281055415973,0.019538370689655173
-1.867867867867868,0.9955477118644058,1.136214406779661,0.011017771186440687,17.719474576271207,0.00029817775854601436,0.00038661973503239004,2.978391969769043e-06,-0.00013420289500863138,1.030185866446334e-06,-2.9851448263458776e-07,0.0012376900309618577,0.019635296610169498
-1.8638638638638638,0.9955506603773583,1.1361235849056603,0.010922320754716984,17.719632075471722,0.0003175394437529011,0.00038912706027447477,2.9587703167449306e-06,-0.00013093640001780003,9.92989514912913e-07,-3.1780798357016646e-07,-0.0006439089542595866,0.01959688679245283
-1.85985985985986,0.9955356190476189,1.1364495238095238,0.011051066666666666,17.719247619047643,0.0003205750712016453,0.00039228773505269846,2.9777989369803738e-06,-0.0001313127842539688,1.221489312711098e-06,-4.7263521130527043e-07,0.0006447672556078032,0.019770323809523798
-1.8558558558558558,0.9955259016393443,1.1367049180327866,0.011122475409836064,17.718967213114773,0.0003142244020430951,0.0003950200489543133,3.027297288618522e-06,-0.00013138233512496357,1.3120345229507589e-06,-4.3011281098196657e-07,8.614646549176541e-05,0.019912147540983607
-1.8518518518518519,0.9955150000000004,1.136971666666667,0.011190066666666663,17.71862500000002,0.0003129291972214787,0.00039816774132888895,3.089310274200025e-06,-0.00013177208144444542,1.1521063379888211e-06,-2.909129089697806e-07,0.0014947760411700983,0.020057399999999996
-1.8478478478478477,0.9954981666666661,1.1373216666666661,0.011322091666666664,17.71826666666669,0.000316093197223033,0.0004013819902915968,3.1159082562063855e-06,-0.000132618497819436,1.2184993860458765e-06,-3.885965872529797e-07,0.00010966222123443004,0.020243508333333333
-1.8438438438438438,0.9954825000000006,1.1376601562500002,0.011444273437500001,17.717937500000023,0.00032858763122423085,0.00040496149611273213,3.15917277508741e-06,-0.00013328765707398132,1.0992417141217516e-06,-3.726915938115494e-07,-0.0018717539073236367,0.020429148437500003
-1.83983983983984,0.9954631250000001,1.1380875000000006,0.011614898437500002,17.717343750000023,0.0003232485937489926,0.0004090160874115601,3.2131925500318737e-06,-0.00013467697548829108,1.1118354983387368e-06,-3.7779365812590666e-07,0.0022148193351085865,0.020662601562500008
-1.8358358358358358,0.9954412500000007,1.1385703125000006,0.011821460937499997,17.716875000000034,0.0003310809936507564,0.0004135386863031616,3.276005765706123e-06,-0.00013649416131591985,1.1279280362921462e-06,-3.8351357957434735e-07,-0.0010972656256740265,0.020931023437500012
-1.8318318318318318,0.9954167968749996,1.1391218749999994,0.012066781250000007,17.716250000000002,0.0003365101464860576,0.0004185228683896482,3.3482858838198986e-06,-0.00013894854521484534,1.1470313638896427e-06,-3.8978694570577107e-07,-0.0009046875001104127,0.021237382812500007
-1.8278278278278277,0.9953889062500003,1.1397499999999998,0.012353671874999998,17.71546874999995,0.00033321875000047463,0.0004239488224548339,3.430711281275133e-06,-0.0001423084570312417,1.1703529949217626e-06,-3.9654210121447856e-07,0.0014638427753084216,0.021584187500000015
-1.8238238238238238,0.9953642968749999,1.1402906250000002,0.012591914062500001,17.714835937499956,0.0003349467871083256,0.00042890705961761485,3.503043488804562e-06,-0.00014495718127442367,1.1913074382103564e-06,-4.0290313947415067e-07,0.002712707459579633,0.021885742187499998
-1.8198198198198199,0.995348359375001,1.140652343749999,0.012731601562499997,17.714453124999967,0.0003380119476332766,0.0004328079622787475,3.5530179233119178e-06,-0.0001458233494567706,1.2018583412932825e-06,-4.082926044944765e-07,0.0007286071792691473,0.022096742187500004
-1.8158158158158157,0.9953318749999996,1.1410132812500002,0.012871375000000001,17.714218749999972,0.00035041076110808866,0.00043670520560937524,3.6032677283424653e-06,-0.0001468004479492184,1.214299976472216e-06,-4.136055734339853e-07,-0.005030297850908028,0.02230717968750001
-1.8118118118118118,0.9952897656250002,1.1419468750000004,0.0142913671875,17.712945312499986,0.000362803427734093,0.00046525924578704814,3.9291448761757694e-06,-0.00014822428674317323,1.298381611916519e-06,-4.5665458605184966e-07,0.00125585638437542,0.02307446875000001
-1.8078078078078077,0.9952741406250003,1.1422906249999996,0.014369460937499997,17.7125546875,0.00035572178711062996,0.00046826562361566154,3.968924709746756e-06,-0.00014974114020995313,1.3087955981152833e-06,-4.598246754450924e-07,0.0016564423219165292,0.02326092187499999
