y,P
-2,0.99385
-1.996,0.99383
-1.992,0.99381
-1.988,0.99379
-1.984,0.99377
-1.98,0.99375
-1.976,0.99373
-1.972,0.99371
-1.968,0.99369
-1.964,0.99367
-1.96,0.99365
-1.956,0.99363
-1.952,0.99361
-1.9479,0.99359
-1.9439,0.99357
-1.9399,0.99355
-1.9359,0.99353
-1.9319,0.99351
-1.9279,0.99349
-1.9239,0.99347
-1.9199,0.99345
-1.9159,0.99343
-1.9119,0.9934
-1.9079,0.99338
-1.9039,0.99336
-1.8999,0.99334
-1.8959,0.99332
-1.8919,0.9933
-1.8879,0.99328
-1.8839,0.99325
-1.8799,0.99323
-1.8759,0.99321
-1.8719,0.99319
-1.8679,0.99317
-1.8639,0.99315
-1.8599,0.99312
-1.8559,0.9931
-1.8519,0.99308
-1.8478,0.99306
-1.8438,0.99303
-1.8398,0.99301
-1.8358,0.99299
-1.8318,0.99296
-1.8278,0.99294
-1.8238,0.99292
-1.8198,0.99289
-1.8158,0.99287
-1.8118,0.99285
-1.8078,0.99282
-1.8038,0.9928
-1.7998,0.99278
-1.7958,0.99275
-1.7918,0.99273
-1.7878,0.9927
-1.7838,0.99268
-1.7798,0.99265
-1.7758,0.99263
-1.7718,0.99261
-1.7678,0.99258
-1.7638,0.99256
-1.7598,0.99253
-1.7558,0.99251
-1.7518,0.99248
-1.7477,0.99245
-1.7437,0.99243
-1.7397,0.9924
-1.7357,0.99238
-1.7317,0.99235
-1.7277,0.99233
-1.7237,0.9923
-1.7197,0.99227
-1.7157,0.99225
-1.7117,0.99222
-1.7077,0.99219
-1.7037,0.99217
-1.6997,0.99214
-1.6957,0.99211
-1.6917,0.99208
-1.6877,0.99206
-1.6837,0.99203
-1.6797,0.992
-1.6757,0.99198
-1.6717,0.99195
-1.6677,0.99192
-1.6637,0.99189
-1.6597,0.99186
-1.6557,0.99183
-1.6517,0.99181
-1.6476,0.99178
-1.6436,0.99175
-1.6396,0.99172
-1.6356,0.99169
-1.6316,0.99166
-1.6276,0.99163
-1.6236,0.9916
-1.6196,0.99157
-1.6156,0.99154
-1.6116,0.99151
-1.6076,0.99148
-1.6036,0.99145
-1.5996,0.99142
-1.5956,0.99139
-1.5916,0.99136
-1.5876,0.99133
-1.5836,0.9913
-1.5796,0.99127
-1.5756,0.99123
-1.5716,0.9912
-1.5676,0.99117
-1.5636,0.99114
-1.5596,0.99111
-1.5556,0.99107
-1.5516,0.99104
-1.5475,0.99101
-1.5435,0.99098
-1.5395,0.99094
-1.5355,0.99091
-1.5315,0.99088
-1.5275,0.99084
-1.5235,0.99081
-1.5195,0.99078
-1.5155,0.99074
-1.5115,0.99071
-1.5075,0.99067
-1.5035,0.99064
-1.4995,0.9906
-1.4955,0.99057
-1.4915,0.99053
