x,Cp
0.86218,0.099571
0.86094,0.10046
0.85969,0.10139
0.85845,0.10229
0.85721,0.10318
0.85596,0.10411
0.85472,0.10336
0.85348,0.10639
0.85223,0.10936
0.85099,0.11029
0.84974,0.10825
0.8485,0.10918
0.84726,0.11007
0.84601,0.111
0.84477,0.11193
0.84353,0.11286
0.84228,0.11375
0.84104,0.11468
0.83979,0.11561
0.83855,0.11657
0.83731,0.1175
0.83606,0.11843
0.83482,0.11936
0.83357,0.12032
0.83233,0.12125
0.83109,0.12221
0.82984,0.12318
0.8286,0.12414
0.82735,0.12514
0.82611,0.12611
0.82487,0.12711
0.82362,0.12807
0.82238,0.12907
0.82113,0.13004
0.81989,0.13104
0.81865,0.132
0.8174,0.133
0.81616,0.134
0.81491,0.13496
0.81367,0.13596
0.81243,0.13696
0.81118,0.13796
0.80994,0.13896
0.80869,0.13993
0.80745,0.14093
0.80621,0.14193
0.80496,0.14293
0.80372,0.14393
0.80247,0.14493
0.80123,0.14589
0.79998,0.14689
0.79874,0.14789
0.7975,0.14889
0.79625,0.14989
0.79501,0.15089
0.79376,0.15189
0.79252,0.15286
0.79127,0.15386
0.79003,0.15486
0.78879,0.15586
0.78754,0.15682
0.7863,0.15782
0.78505,0.15882
0.78381,0.15982
0.78256,0.16082
0.78132,0.16182
0.78007,0.16282
0.77883,0.16382
0.77759,0.16482
0.77634,0.16582
0.7751,0.16682
0.77385,0.16782
0.77261,0.16882
0.77136,0.16982
0.77012,0.17082
0.76887,0.17182
0.76763,0.17282
0.76638,0.17382
0.76514,0.17479
0.76389,0.17579
0.76265,0.17675
0.7614,0.17775
0.76016,0.17871
0.75891,0.17971
0.75767,0.18068
0.75642,0.18168
0.75518,0.18268
0.75393,0.18364
0.75269,0.18464
0.75145,0.18561
0.7502,0.18661
0.74896,0.18757
0.74771,0.18854
0.74647,0.1895
0.74522,0.19046
0.74398,0.19146
0.74273,0.19243
0.74149,0.19343
0.74024,0.19439
0.73899,0.19539
0.73775,0.19639
0.7365,0.19736
0.73526,0.19836
0.73401,0.19936
0.73277,0.20036
0.73152,0.20136
0.73028,0.20232
0.72903,0.20332
0.72779,0.20432
0.72654,0.20532
0.7253,0.20632
0.72405,0.20736
0.72281,0.20839
0.72156,0.20939
0.72032,0.21043
0.71907,0.21146
0.71783,0.2125
0.71658,0.21354
0.71534,0.21454
0.71409,0.21557
0.71284,0.21657
0.7116,0.21757
0.71035,0.21854
0.70911,0.21954
0.70786,0.22054
0.70662,0.22154
0.70537,0.2225
0.70413,0.2235
0.70288,0.2245
0.70163,0.22546
0.70039,0.22646
0.69914,0.22746
0.6979,0.22846
0.69665,0.2295
0.69541,0.2305
0.69416,0.23154
0.69291,0.23261
0.69167,0.23364
0.69042,0.23468
0.68918,0.23575
0.68793,0.23682
0.68668,0.23789
0.68544,0.23896
0.68419,0.24004
0.68295,0.24114
0.6817,0.24221
0.68045,0.24332
0.67921,0.24443
0.67796,0.24557
0.67671,0.24668
0.67547,0.24782
0.67422,0.24896
0.67298,0.25011
0.67173,0.25125
0.67048,0.25239
0.66924,0.25354
0.66799,0.25468
0.66674,0.25579
0.6655,0.25693
0.66425,0.25804
0.663,0.25914
0.66176,0.26029
0.66051,0.26136
0.65926,0.26246
0.65802,0.26357
0.65677,0.26471
0.65552,0.26582
0.65428,0.26693
0.65303,0.26807
0.65178,0.26918
0.65054,0.27032
0.64929,0.27146
0.64804,0.27257
0.6468,0.27371
0.64555,0.27482
0.6443,0.27596
0.64305,0.27707
0.64181,0.27821
0.64056,0.27936
0.63931,0.2805
0.63807,0.28161
0.63682,0.28271
0.63557,0.28386
0.63432,0.28493
0.63308,0.28604
0.63183,0.28711
0.63058,0.28818
0.62933,0.28925
0.62809,0.29032
0.62684,0.29136
0.62559,0.29243
0.62434,0.2935
0.62309,0.29457
0.62185,0.29564
0.6206,0.29671
0.61935,0.29775
0.6181,0.29882
0.61686,0.29989
0.61561,0.30096
0.61436,0.30204
0.61311,0.30311
0.61186,0.30418
0.61061,0.30525
0.60937,0.30636
0.60812,0.30946
0.60687,0.31064
0.60562,0.31036
0.60437,0.3115
0.60313,0.31261
0.60188,0.31375
0.60063,0.31486
0.59938,0.316
0.59813,0.31714
0.59688,0.31825
0.59563,0.31943
0.59438,0.32057
0.59314,0.32175
0.59189,0.32293
0.59064,0.32411
0.58939,0.32529
0.58814,0.3265
0.58689,0.32771
0.58564,0.32893
0.58439,0.33014
0.58314,0.33136
0.58189,0.33257
0.58065,0.33379
0.57939,0.33504
0.57815,0.33625
0.5769,0.3375
0.57565,0.33871
0.5744,0.33996
0.57315,0.34121
0.5719,0.34243
0.57065,0.34368
0.5694,0.34493
0.56815,0.34618
0.5669,0.34739
0.56565,0.34864
0.5644,0.34989
0.56315,0.35111
0.5619,0.35232
0.56065,0.35357
0.5594,0.35479
0.55815,0.356
0.5569,0.35725
0.55565,0.35846
0.5544,0.35968
0.55315,0.36089
0.5519,0.36211
0.55065,0.36332
0.5494,0.36454
0.54815,0.36575
0.5469,0.36693
0.54564,0.36814
0.54439,0.36932
0.54314,0.3705
0.54189,0.37164
0.54064,0.37282
0.53939,0.37396
0.53814,0.37511
0.53689,0.37625
0.53564,0.37739
0.53438,0.37854
0.53313,0.37968
0.53188,0.38079
0.53063,0.38189
0.52938,0.383
0.52813,0.38411
0.52688,0.38521
0.52562,0.38632
0.52437,0.38746
0.52312,0.38861
0.52187,0.38979
0.52062,0.39096
0.51937,0.39214
0.51811,0.39336
0.51686,0.39454
0.51561,0.39571
0.51436,0.39689
0.51311,0.39807
0.51185,0.39929
0.5106,0.4005
0.50935,0.40171
0.50809,0.40293
0.50684,0.40418
0.50559,0.40539
0.50434,0.40661
0.50308,0.40782
0.50183,0.40904
0.50058,0.41025
0.49933,0.4115
0.49807,0.41271
0.49682,0.41396
0.49557,0.41521
0.49431,0.41646
0.49306,0.41771
0.49181,0.41896
0.49055,0.42025
0.4893,0.42154
0.48805,0.42282
0.48679,0.42414
0.48554,0.42546
0.48429,0.42679
0.48303,0.42814
0.48178,0.4295
0.48052,0.43086
0.47927,0.43225
0.47802,0.43368
0.47676,0.43511
0.47551,0.43657
0.47425,0.43804
0.473,0.43954
0.47175,0.44104
0.47049,0.44261
0.46924,0.44414
0.46798,0.44571
0.46673,0.44729
0.46547,0.44886
0.46422,0.45043
0.46296,0.452
0.46171,0.45357
0.46046,0.45514
0.4592,0.45671
0.45795,0.45832
0.45669,0.45989
0.45543,0.46143
0.45418,0.46296
0.45292,0.46057
0.45167,0.46329
0.45041,0.46729
0.44916,0.46904
0.4479,0.47054
0.44665,0.47204
0.44539,0.47357
0.44413,0.47511
0.44288,0.47664
0.44162,0.47825
0.44037,0.47989
0.43911,0.48161
0.43785,0.48332
0.4366,0.48514
0.43534,0.48689
0.43408,0.48864
0.43283,0.49029
0.43157,0.49186
0.43032,0.49332
0.42906,0.49482
0.4278,0.49632
0.42654,0.49782
0.42529,0.49939
0.42403,0.50104
0.42277,0.50271
0.42152,0.5045
0.42026,0.50636
0.419,0.50832
0.41774,0.51036
0.41649,0.5125
0.41523,0.51471
0.41397,0.51696
0.41271,0.51925
0.41145,0.52154
0.4102,0.52382
0.40894,0.52611
0.40768,0.52839
0.40642,0.53075
0.40516,0.53314
0.40391,0.53561
0.40265,0.53811
0.40139,0.54075
0.40013,0.54343
0.39887,0.54625
0.39761,0.54914
0.39635,0.55214
0.39509,0.55518
0.39384,0.55836
0.39258,0.56164
0.39132,0.56504
0.39006,0.56861
0.3888,0.57232
0.38754,0.57621
0.38628,0.58025
0.38502,0.58443
0.38376,0.58871
0.3825,0.59311
0.38124,0.59764
0.37998,0.60232
0.37872,0.60711
0.37746,0.61204
0.3762,0.61718
0.37494,0.62254
0.37368,0.62814
0.37242,0.63389
0.37116,0.63979
0.3699,0.64582
0.36864,0.65193
0.36737,0.65804
0.36611,0.66418
0.36485,0.67039
0.36359,0.67664
0.36233,0.68304
0.36107,0.68961
0.35981,0.69643
0.35855,0.70343
0.35728,0.71054
0.35602,0.71768
0.35476,0.72486
0.3535,0.73211
0.35224,0.7395
0.35097,0.74711
0.34971,0.755
0.34845,0.76321
0.34719,0.77171
0.34592,0.78043
0.34466,0.78936
0.3434,0.79846
0.34214,0.80782
0.34087,0.8175
0.33961,0.82746
0.33835,0.83771
0.33708,0.84818
0.33582,0.85889
0.33456,0.86982
0.33329,0.88093
0.33203,0.89218
0.33077,0.90361
0.3295,0.91518
0.32824,0.92689
0.32697,0.93879
0.32571,0.95093
0.32445,0.96321
0.32318,0.97568
0.32192,0.98825
0.32065,1.0009
0.31939,1.0137
0.31812,1.0267
0.31686,1.0399
0.31559,1.0533
0.31433,1.067
0.31306,1.081
0.3118,1.0952
0.31053,1.1097
0.30927,1.1244
0.308,1.1392
0.30673,1.1544
0.30547,1.1697
0.3042,1.1853
0.30294,1.201
0.30167,1.2165
0.3004,1.2321
0.29914,1.2476
0.29787,1.263
0.2966,1.2785
0.29534,1.2939
0.29407,1.3092
0.29281,1.3245
0.29154,1.3399
0.29027,1.3553
0.289,1.3708
0.28774,1.3892
0.28647,1.4023
0.2852,1.4172
0.28393,1.4343
0.28267,1.4524
0.2814,1.4456
0.28013,1.477
0.27886,1.4856
0.27759,1.4979
0.27632,1.5096
0.27506,1.5208
0.27379,1.5314
0.27252,1.5413
0.27125,1.5506
0.26998,1.5595
0.26871,1.5677
0.26744,1.5753
0.26617,1.5823
0.2649,1.5886
0.26364,1.5944
0.26236,1.5995
0.2611,1.6039
0.25983,1.6078
0.25856,1.6111
0.25729,1.614
0.25602,1.6163
0.25475,1.6182
0.25348,1.6196
0.2522,1.6206
0.25093,1.6211
0.24966,1.6213
0.24839,1.6212
0.24712,1.6208
0.24585,1.6204
0.24458,1.6199
0.2433,1.6194
0.24203,1.6189
0.24076,1.6183
0.23949,1.6175
0.23822,1.6166
0.23694,1.6154
0.23567,1.614
0.2344,1.6124
0.23312,1.6106
0.23185,1.6086
0.23058,1.6065
0.22931,1.6044
0.22803,1.6023
0.22676,1.6002
0.22549,1.598
0.22421,1.5959
0.22294,1.5939
0.22167,1.592
0.22039,1.5901
0.21912,1.5883
0.21785,1.5865
0.21657,1.5849
0.2153,1.5832
0.21403,1.5816
0.21275,1.58
0.21148,1.5784
0.21021,1.5769
0.20912,1.5754
0.20803,1.5739
0.20694,1.5726
0.20585,1.5713
0.20477,1.5701
0.20368,1.5689
0.2026,1.5679
0.20151,1.5668
0.20043,1.5658
0.19935,1.5649
0.19827,1.564
0.1972,1.5631
0.19612,1.5622
0.19505,1.5613
0.19397,1.5604
0.1929,1.5595
0.19183,1.5585
0.19076,1.5576
0.18969,1.5566
0.18862,1.5557
0.18755,1.5548
0.18649,1.554
0.18543,1.5531
0.18436,1.5524
0.1833,1.5516
0.18224,1.5509
0.18118,1.5503
0.18012,1.5496
0.17906,1.5491
0.17801,1.5485
0.17695,1.548
0.1759,1.5474
0.17484,1.5469
0.17379,1.5465
0.17274,1.546
0.17169,1.5456
0.17064,1.5452
0.1696,1.5448
0.16855,1.5445
0.16751,1.5441
0.16646,1.5438
0.16542,1.5435
0.16438,1.5431
0.16334,1.5429
0.1623,1.5425
0.16126,1.5422
0.16023,1.542
0.15919,1.5417
0.15816,1.5415
0.15712,1.5412
0.15609,1.541
0.15506,1.5407
0.15403,1.5405
0.15301,1.5403
0.15198,1.5401
0.15096,1.5399
0.14993,1.5397
0.14891,1.5396
0.14789,1.5394
0.14687,1.5393
0.14585,1.5392
0.14483,1.5391
0.14382,1.539
0.1428,1.5389
0.14179,1.5388
0.14077,1.5388
0.13976,1.5387
0.13875,1.5386
0.13775,1.5377
0.13674,1.5376
0.13573,1.5385
0.13473,1.5385
0.13372,1.5385
0.13272,1.5385
0.13172,1.5385
0.13072,1.5385
0.12973,1.5385
0.12873,1.5386
0.12773,1.5386
0.12674,1.5386
0.12575,1.5387
0.12476,1.5387
0.12377,1.5388
0.12278,1.5389
0.12179,1.539
0.12081,1.5391
0.11982,1.5392
0.11884,1.5393
0.11786,1.5394
0.11688,1.5396
0.1159,1.5397
0.11492,1.5399
0.11395,1.54
0.11297,1.5402
0.112,1.5404
0.11103,1.5406
0.11006,1.5408
0.10909,1.541
0.10812,1.5412
0.10716,1.5415
0.10619,1.5417
0.10523,1.542
0.10427,1.5423
0.10331,1.5426
0.10235,1.5429
0.1014,1.5432
0.10044,1.5435
0.09949,1.5439
0.098538,1.5442
0.097587,1.5446
0.096639,1.545
0.095692,1.5455
0.094746,1.5459
0.093802,1.5463
0.09286,1.5468
0.091919,1.5473
0.09098,1.5478
0.090043,1.5484
0.089107,1.5489
0.088173,1.5495
0.08724,1.5501
0.08631,1.5507
0.08538,1.5514
0.084453,1.5521
0.083527,1.5528
0.082603,1.5535
0.081681,1.5543
0.08076,1.5551
0.079841,1.556
0.078924,1.5569
0.078009,1.5578
0.077095,1.5587
0.076184,1.5597
0.075274,1.5608
0.074366,1.5619
0.07346,1.5631
0.072555,1.5643
0.071653,1.5655
0.070752,1.5669
0.069854,1.5682
0.068957,1.5697
0.068062,1.5712
0.06717,1.5727
0.066279,1.5744
0.06539,1.5761
0.064503,1.578
0.063619,1.5799
0.062736,1.5819
0.061855,1.584
0.060977,1.5862
0.060101,1.5885
0.059226,1.5909
0.058354,1.5935
0.057484,1.5961
0.056616,1.5989
0.055751,1.6019
0.054887,1.6051
0.054026,1.6084
0.053168,1.6119
0.052311,1.6155
0.051458,1.6192
0.050606,1.6233
0.049757,1.6276
0.048911,1.6321
0.048067,1.6367
0.047225,1.6416
0.046387,1.6467
0.04555,1.652
0.044717,1.6577
0.043886,1.6638
0.043058,1.6704
0.042232,1.6773
0.041409,1.6846
0.040589,1.6922
0.039772,1.7001
0.038958,1.7079
0.038147,1.7155
0.037339,1.7231
0.036533,1.7285
0.035731,1.7376
0.034931,1.7474
0.034135,1.7584
0.033343,1.7691
0.032554,1.7835
0.031768,1.795
0.030986,1.8069
0.030207,1.8191
0.029433,1.8319
0.028662,1.8451
0.027895,1.8587
0.027131,1.8727
0.026372,1.8872
0.025617,1.9021
0.024866,1.9175
0.024118,1.9332
0.023376,1.9495
0.022637,1.9661
0.021902,1.9832
0.021173,2.0009
0.020447,2.0189
0.019727,2.0373
0.019011,2.0558
0.018301,2.0744
0.017597,2.0933
0.016898,2.1124
0.016205,2.1316
0.015519,2.1511
0.014838,2.1707
0.014164,2.1905
0.013497,2.2105
0.012837,2.2309
0.012184,2.2516
0.011538,2.2725
0.0109,2.2936
0.01027,2.3148
0.0096478,2.3362
0.0090347,2.3576
0.0084308,2.3784
0.0078376,2.3974
0.0072562,2.4144
0.0066867,2.4304
0.0061296,2.4455
0.0055858,2.4592
0.0050557,2.4723
0.0045402,2.4838
0.0040404,2.4929
0.0035574,2.5001
0.0030926,2.5041
0.0026477,2.5063
0.0022252,2.5052
0.0018274,2.4983
0.0014547,2.4914
0.0011106,2.4692
0.00080072,2.4219
0.00053134,2.3441
0.00030968,2.2147
0.00014315,2.0369
3.8361e-05,1.8022
2.9626e-05,1.2067
0,1.5247
0.00012472,0.86843
0.00027878,0.55921
0.00048527,0.28743
0.00073681,0.055964
0.0010261,-0.14107
0.0013465,-0.30929
0.0016922,-0.45214
0.0020585,-0.5675
0.0024414,-0.65786
0.0028377,-0.73036
0.003245,-0.78929
0.003661,-0.83786
0.004085,-0.87786
0.0045161,-0.91036
0.0049534,-0.93643
0.0053962,-0.9575
0.0058438,-0.97393
0.0062958,-0.98679
0.0067517,-0.99643
0.007211,-1.0036
0.0076735,-1.0086
0.0081388,-1.0125
0.0086067,-1.015
0.0090768,-1.0161
0.0095493,-1.0157
0.010024,-1.0157
0.0105,-1.0146
0.010978,-1.0118
0.011457,-1.0086
0.011938,-1.0046
0.01242,-1.0004
0.012904,-0.99571
0.013391,-0.99071
0.01388,-0.98536
0.01437,-0.98
0.014861,-0.97464
0.015352,-0.96893
0.015844,-0.96357
0.016336,-0.95821
0.016828,-0.95286
0.01732,-0.9475
0.017811,-0.94179
0.018302,-0.93643
0.018792,-0.93107
0.019281,-0.92607
0.019769,-0.92071
0.020256,-0.91536
0.020742,-0.91
0.021227,-0.90464
0.02171,-0.89929
0.022192,-0.89393
0.022673,-0.88857
0.023151,-0.88286
0.023628,-0.8775
0.024104,-0.87143
0.024577,-0.86536
0.025048,-0.85821
0.025517,-0.84929
0.025984,-0.83714
0.026742,-0.82679
0.027512,-0.82107
0.028297,-0.81607
0.029096,-0.81107
0.029909,-0.80571
0.030737,-0.79964
0.031581,-0.79321
0.032441,-0.78607
0.033317,-0.77857
0.03421,-0.77071
0.03512,-0.7625
0.036048,-0.75393
0.036995,-0.74536
0.037959,-0.73643
0.038942,-0.7275
0.039945,-0.71857
0.040966,-0.71
0.042007,-0.70143
0.043067,-0.69286
0.044147,-0.685
0.045246,-0.6775
0.046363,-0.67036
0.047498,-0.66357
0.048651,-0.65679
0.049822,-0.65
0.051012,-0.64321
0.052219,-0.63679
0.053444,-0.63036
0.054687,-0.62393
0.055947,-0.6175
0.057226,-0.61107
0.058522,-0.605
0.059836,-0.59893
0.061167,-0.59286
0.062516,-0.58679
0.063883,-0.58107
0.065267,-0.575
0.066668,-0.56929
0.068087,-0.56357
0.069523,-0.55786
0.070976,-0.55214
0.072447,-0.54643
0.073935,-0.54107
0.07544,-0.53571
0.076962,-0.53036
0.078501,-0.525
0.080057,-0.51964
0.08163,-0.51464
0.08322,-0.50964
0.084826,-0.50464
0.086449,-0.49964
0.088089,-0.495
0.089745,-0.49
0.091418,-0.48536
0.093107,-0.48071
0.094812,-0.47607
0.096534,-0.47179
0.098272,-0.46714
0.10003,-0.46286
0.1018,-0.45857
0.10358,-0.45429
0.10538,-0.45
0.1072,-0.44571
0.10904,-0.44179
0.11088,-0.43786
0.11275,-0.43357
0.11463,-0.43
0.11652,-0.42607
0.11843,-0.42214
0.12036,-0.41857
0.1223,-0.41464
0.12426,-0.41107
0.12623,-0.4075
0.12821,-0.40393
0.13021,-0.40036
0.13223,-0.39714
0.13426,-0.39357
0.13631,-0.39036
0.13836,-0.38714
0.14044,-0.38357
0.14253,-0.38036
0.14463,-0.3775
0.14674,-0.37429
0.14887,-0.37107
0.15102,-0.36821
0.15318,-0.36536
0.15535,-0.36214
0.15753,-0.35929
0.15973,-0.35643
0.16194,-0.35357
0.16417,-0.35107
0.16641,-0.34821
0.16866,-0.34536
0.17093,-0.34286
0.1732,-0.34036
0.17549,-0.3375
0.1778,-0.335
0.18012,-0.3325
0.18244,-0.33
0.18479,-0.32786
0.18714,-0.32536
0.18951,-0.32321
0.19189,-0.32071
0.19428,-0.31857
0.19668,-0.31607
0.1991,-0.31393
0.20152,-0.31179
0.20396,-0.30964
0.20641,-0.3075
0.20888,-0.30536
0.21135,-0.30321
0.21383,-0.30107
0.21633,-0.29929
0.21884,-0.29714
0.22136,-0.29536
0.22389,-0.29321
0.22643,-0.29143
0.22898,-0.28964
0.23154,-0.2875
0.23411,-0.28571
0.2367,-0.28393
0.23929,-0.28214
0.2419,-0.28036
0.24451,-0.27893
0.24713,-0.27714
0.24977,-0.27536
0.25241,-0.27357
0.25507,-0.27179
0.25773,-0.27036
0.26041,-0.26857
0.26309,-0.26714
0.26579,-0.26536
0.26849,-0.26393
0.2712,-0.26214
0.27392,-0.26071
0.27665,-0.25929
0.27939,-0.25786
0.28214,-0.25643
0.2849,-0.255
0.28766,-0.25357
0.29044,-0.25214
0.29322,-0.25071
0.29601,-0.24929
0.29881,-0.24786
0.30162,-0.24643
0.30444,-0.245
0.30726,-0.24357
0.3101,-0.2425
0.31294,-0.24107
0.31579,-0.23964
0.31864,-0.23857
0.32151,-0.23714
0.32438,-0.23607
0.32726,-0.23464
0.33014,-0.23357
0.33304,-0.23214
0.33594,-0.23107
0.33884,-0.23
0.34176,-0.22857
0.34468,-0.2275
0.34761,-0.22643
0.35054,-0.22536
0.35348,-0.22393
0.35643,-0.22286
0.35939,-0.22179
0.36235,-0.22071
0.36531,-0.21964
0.36829,-0.21857
0.37127,-0.2175
0.37425,-0.21643
0.37724,-0.21536
0.38024,-0.21429
0.38324,-0.21321
0.38625,-0.21214
0.38926,-0.21107
0.39228,-0.21
0.39531,-0.20893
0.39834,-0.20786
0.40137,-0.20679
0.40441,-0.20607
0.40745,-0.205
0.4105,-0.20393
0.41356,-0.20286
0.41662,-0.20214
0.41968,-0.20107
0.42275,-0.2
0.42582,-0.19929
0.42889,-0.19821
0.43197,-0.1975
0.43506,-0.19643
0.43815,-0.19571
0.44124,-0.19464
0.44433,-0.19393
0.44743,-0.19286
0.45054,-0.19214
0.45364,-0.19143
0.45675,-0.19036
0.45987,-0.18964
0.46298,-0.18893
0.4661,-0.18786
0.46923,-0.18714
0.47235,-0.18643
0.47548,-0.18571
0.47861,-0.18464
0.48175,-0.18393
0.48488,-0.18321
0.48802,-0.1825
0.49116,-0.18179
0.49431,-0.18107
0.49745,-0.18036
0.5006,-0.17964
0.50375,-0.17893
0.5069,-0.17821
0.51005,-0.1775
0.51321,-0.17679
0.51637,-0.17607
0.51952,-0.17536
0.52268,-0.17464
0.52584,-0.17393
0.52901,-0.17357
0.53217,-0.17286
0.53533,-0.17214
0.5385,-0.17143
0.54166,-0.17071
0.54483,-0.17036
0.548,-0.16964
0.55117,-0.16893
0.55433,-0.16857
0.5575,-0.16786
0.56067,-0.16714
0.56384,-0.16679
0.56701,-0.16607
0.57018,-0.16571
0.57334,-0.165
0.57651,-0.16464
0.57968,-0.16393
0.58285,-0.16357
0.58601,-0.16286
0.58918,-0.1625
0.59235,-0.16214
0.59551,-0.16143
0.59867,-0.16107
0.60184,-0.16071
0.605,-0.16036
0.60816,-0.15964
0.61132,-0.15929
0.61447,-0.15893
0.61763,-0.15857
0.62078,-0.15821
0.62393,-0.15786
0.62708,-0.1575
0.63023,-0.15714
0.63338,-0.15679
0.63652,-0.15643
0.63966,-0.15607
0.6428,-0.15571
0.64594,-0.15571
0.64907,-0.15536
0.6522,-0.155
0.65533,-0.15464
0.65845,-0.15464
0.66157,-0.15429
0.66469,-0.15393
0.66781,-0.15393
0.67092,-0.15357
0.67403,-0.15321
0.67713,-0.15321
0.68023,-0.15286
0.68333,-0.15286
0.68642,-0.1525
0.68951,-0.1525
0.6926,-0.15214
0.69568,-0.15214
0.69875,-0.15179
0.70183,-0.15179
0.70489,-0.15179
0.70795,-0.15143
0.71101,-0.15143
0.71406,-0.15107
0.71711,-0.15107
0.72015,-0.15071
0.72319,-0.15071
0.72622,-0.15036
0.72925,-0.15036
0.73226,-0.15036
0.73528,-0.15
0.73829,-0.15
0.74129,-0.14964
0.74428,-0.14964
0.74727,-0.14929
0.75026,-0.14929
0.75323,-0.14929
0.7562,-0.14893
0.75917,-0.14893
0.76212,-0.14857
0.76507,-0.14857
0.76801,-0.14821
0.77095,-0.14821
0.77388,-0.14786
0.7768,-0.1475
0.77971,-0.1475
0.78261,-0.14714
0.78551,-0.14714
0.7884,-0.14679
0.79128,-0.14643
0.79415,-0.14643
0.79701,-0.14607
0.79987,-0.14571
0.80271,-0.14536
0.80555,-0.14536
0.80838,-0.145
0.8112,-0.14464
0.81401,-0.14429
0.81681,-0.14393
0.8196,-0.14357
0.82238,-0.14357
0.82515,-0.14321
0.82791,-0.14286
0.83067,-0.1425
0.83341,-0.14214
0.83614,-0.14179
0.83886,-0.14143
0.84157,-0.14071
0.84427,-0.14036
0.84695,-0.14
0.84963,-0.13964
0.85229,-0.13929
0.85495,-0.13857
