x,rho,u,v,p,uu,vv,ww,uv,uw,vw,pp,Sij^2
0.5255255255255256,0.9715334513274335,-0.004062910176991151,0.0025370549557522126,17.350584070796465,0.0025671812564689225,0.03049019167073557,0.021225475211214796,6.254042816922298e-05,5.5599109267751295e-05,0.0008716863358623853,0.0008607208080206874,45.0495575221239
0.5305305305305306,0.9715467968750003,-0.006281101484374999,0.001802139039062501,17.34949218750001,0.004041263389142985,0.03305977573238387,0.02254459572873617,0.00011086926194330563,3.39194454695122e-05,0.0009837986655262506,0.002308335876023193,40.42678906249999
0.5355355355355356,0.9715417968750003,-0.007881121687500001,0.0015811362500000004,17.34845312500002,0.005311839483446817,0.03431664063315892,0.023137527687217118,0.00015342510140951745,2.4093414585980497e-05,0.0010481747821685108,0.003986669676976362,38.25030468749999
0.5405405405405406,0.971522890625,-0.009665432968750004,0.0012327940570312505,17.34735937500001,0.006698802061776601,0.03505365209381295,0.023364220977192977,0.00018431863754125898,7.105543497655485e-06,0.0010372016232328308,0.0014664645992183978,37.138578125
0.5455455455455456,0.971508671875,-0.010860880921875007,0.0009256056796874996,17.346570312499992,0.007681187359350851,0.03540922137912572,0.0233886326769434,0.00021098183759894713,1.3072231618557246e-05,0.0009895023818011178,0.0020452684940437393,36.70189843750001
0.5505505505505506,0.9714772656249998,-0.013039809374999997,0.0004346114062500028,17.34521093749998,0.00930456102771366,0.03569449861292556,0.023255773434463393,0.00022103593973345076,-2.6389886977595437e-05,0.0008632738276082456,0.002563783631330807,36.439890625000004
0.5555555555555556,0.9714589843749999,-0.014223705156250006,0.0001333991406249989,17.344437499999984,0.010248127617878066,0.03577482595466926,0.023092536877428255,0.00022567795738809713,-3.367270825566771e-05,0.0007558142233726216,0.0033784335943209953,36.4473671875
0.5605605605605606,0.9714245312499997,-0.016315392843749995,-0.0002950207031250034,17.3432578125,0.011761734518854108,0.03584234265028472,0.022757984546424186,0.0002058453166439762,-7.750963544173593e-05,0.0005595036525919986,-0.0009353008422294806,36.66135156249999
0.5655655655655656,0.971403515625,-0.0174525407265625,-0.0005048035859375002,17.342453125000002,0.012651115072187673,0.03582652642333964,0.022520502134030684,0.00018254867610751098,-9.122034200334314e-05,0.00042881477230243833,0.0020539821776424105,36.93998437500001
0.5705705705705706,0.9713702343749998,-0.019293523359375005,-0.0007690479140625023,17.341281249999994,0.013972778706381243,0.03586878356530587,0.02213782082794696,0.00015117663735555653,-0.00014406857857212472,0.00023050742598916145,0.0030896083986817757,37.53085156249997
0.5755755755755756,0.97134265625,-0.02076064195312501,-0.0009022993750000045,17.34037499999999,0.015023521526944144,0.035904896793337866,0.021821177037876966,0.00011928038027234631,-0.00018908792198235328,6.594089865278368e-05,0.0027229843754525973,38.014398437499985
0.5805805805805806,0.971315625,-0.022175067812499994,-0.0009704538281250013,17.339453125,0.01604762183626102,0.035963956656867455,0.02153133694292313,7.792539398992799e-05,-0.0002360890942140297,-6.445085240311232e-05,0.003755950927768481,38.57124999999999
0.5855855855855856,0.971290078125,-0.02352161296874999,-0.0009968766875000003,17.33864843750001,0.017029171223348325,0.03605655311186991,0.021278698267800076,2.580807894155535e-05,-0.00029138819537746254,-0.00017190621820767005,0.002285985778655686,38.99438281250001
0.5905905905905906,0.9712644531249998,-0.024814248874999997,-0.0009900432499999991,17.337781249999995,0.017938143677769563,0.036145801064363145,0.021057895544970066,-4.641515540013916e-06,-0.000332155546924216,-0.00023581090792184562,0.004153827148570599,39.552835937499985
0.5955955955955956,0.9712392187499996,-0.0260435171875,-0.0009725798437499997,17.336992187499995,0.018808368025004386,0.03625954627594754,0.020886425974254937,-4.706367643941921e-05,-0.0003939054094239116,-0.0002660134603891331,0.00276439056409572,40.0060859375
0.6006006006006006,0.9712142968749997,-0.027224105,-0.000953372812499999,17.336210937499988,0.019672394981948987,0.03639963795528038,0.020724224380426922,-8.404878405164532e-05,-0.00042398201315222263,-0.0002994289825916757,0.00313408050601538,40.59683593750002
0.6056056056056056,0.9711928906249995,-0.028362219819531253,-0.0009317159765625005,17.335492187499995,0.02050846729940859,0.03658064753033902,0.020616452622360726,-0.00012763767474288477,-0.00046364305348022504,-0.0003046193585050196,0.0025074921263694705,40.96731249999999
0.6106106106106106,0.97117015625,-0.029459361929687507,-0.0009199846875000034,17.334773437500004,0.021254997557195673,0.03677883331567477,0.02050777931215147,-0.00017546960250383308,-0.0005044204793165509,-0.00032497250227274036,0.0024267455441986385,41.672578125000015
0.6156156156156156,0.9711449999999997,-0.030749991796875,-0.0009145451562499988,17.333921874999998,0.02221334425449213,0.03706281204465719,0.020426419740168615,-0.00024160259199005924,-0.0005275640307934361,-0.00036908293909703415,0.003433681396643351,42.48878906250002
0.6206206206206206,0.9711282031250003,-0.031445617343749996,-0.0009143370312500018,17.333367187500006,0.022685337212370444,0.03724210148779328,0.02041169117197939,-0.00025452315803290777,-0.0005602082235272512,-0.00038850232120665214,0.003600693298153601,42.89885937500001
0.6256256256256256,0.9711040625000001,-0.03256007187500001,-0.0009180888281250004,17.33261718750001,0.02351446671949483,0.03753248523790367,0.02037453371258888,-0.00031127578268450967,-0.00058180111948785,-0.0004166532754438839,0.0031939315791760237,43.59384375000002
0.6306306306306306,0.9710818749999995,-0.033549716328125,-0.0009332542031249992,17.331937500000006,0.024222604034302358,0.037776793099092376,0.020365624085168683,-0.000358810429401874,-0.0006057611597409397,-0.0004511510911210669,0.0024581210935252784,44.67516406250001
0.6356356356356356,0.9710645312500001,-0.0345277571875,-0.0009601915624999995,17.3312734375,0.02496034179610105,0.038095953032163316,0.020371460677354188,-0.00040302686190473645,-0.0006387937969592173,-0.0004670775633748938,0.003992284606965768,45.2928984375
0.6406406406406406,0.971041640625,-0.035500049765624986,-0.0010035132812499991,17.330578125000002,0.025674348029138153,0.03837606327359435,0.020391166318186982,-0.00046569131986234067,-0.0006636235141221874,-0.0004910525034916208,0.0036399782712805973,46.366445312499984
0.6456456456456456,0.9710203906249999,-0.03650331609375002,-0.0010811940937499964,17.329906250000004,0.02642216416415977,0.03871956539433164,0.020435269901719285,-0.0005173608103878517,-0.0006902599673932353,-0.0005071605445548603,0.003568116210772132,47.172351562500005
